,JiaoZiVideoPlayer,BaseRecyclerViewAdapterHelper,fresco,MaterialViewPager,mdanalysis,banner,AppIntro,canal,RxPermissions,jmxtrans,weka-3.8,vlayout,mobile-icon-resizer,motogp,Matisse,axios,Luban,bootstrap,logger,lottie-react-native,javascript,website,graphql-engine,flamingo,JCSprout,CircleImageView,Android-PickerView,android,postgres,entt,insolar,SlidingMenu,istio,ionic,zulip,uCrop,spark,HealthTime,Fragmentation,zipkin,Zilliqa,pip,raiden,yebash,mall,brmo,Android-PullToRefresh,thanos,tinker,epoxy,leakcanary,Android-CleanArchitecture,JDeodorant,LightTable,AndroidSwipeLayout,AndroidViewAnimations,RefactoringMiner,abinit,rasa_core,vue,disruptor,rchain,stetho,docker,FizzBuzzEnterpriseEdition,android-async-http,Aelf,SmartRefreshLayout,ViewPagerIndicator,AndroidSlidingUpPanel,websocketd,Calligraphy,core,ubiquity,flask,kbc-ui,holochain-rust,tetris_project,ZfcUser,iotivity,realm-java,HikariCP,nodejs.org,AnySoftKeyboard,iotjs,synfig,arthas,Signal-Android,Telegram,apollo,redisson,picasso,zxing,marko,kafka,android-fly-in-app-navigation,MaterialDesignLibrary,onnx,zsc,java-design-patterns,GSYVideoPlayer,FileDownloader,alfresco-android-app,Lean,rhino,Android-Universal-Image-Loader,sanitize-html,ant,ARouter,recyclerview-animators,crispy-doom,EventBus,greenDAO,symphony,dspot,react-native-navigation,android-Ultra-Pull-To-Refresh,hydrus,hadoop,FlycoTabLayout,MaterialDrawer,mongo,HomeMirror,Android-ObservableScrollView,storm,spoon,reicast-emulator,core-moos,butterknife,jquery,gson,PhotoView,mybatis-3,rasa_nlu,faster-rcnn.pytorch,javascript-algorithms,datadog-agent,BottomBar,testrepository,grin,kdcproxy,dinghy,fastjson,scikit-learn,jadx,PermissionsDispatcher,AVLoadingIndicatorView,wagtail,druid
AnySoftKeyboard,0.47,0.4,0.43,0.46,0.49,0.0,0.46,0.66,0.42,0.48,0.45,0.3,0.62,0.38,0.49,0.5,0.49,0.49,0.44,0.4,0.46,0.46,0.43,0.44,0.35,0.51,0.32,0.46,0.0,0.44,0.48,0.42,0.48,0.53,0.45,0.45,0.57,0.32,0.32,0.43,0.43,0.45,0.46,0.43,0.0,0.44,0.0,0.46,0.46,0.44,0.51,0.21,0.41,0.46,0.35,0.47,0.49,0.43,0.48,0.48,0.53,0.43,0.52,0.34,0.44,0.44,0.5,0.4,0.39,0.35,0.46,0.4,0.42,0.42,0.48,0.51,0.42,0.59,0.53,0.47,0.43,0.37,0.48,,0.44,0.48,0.47,0.49,0.18,0.47,0.48,0.46,0.37,0.4,0.47,0.56,0.49,0.37,0.41,0.44,0.47,0.4,0.41,0.43,0.48,0.38,0.38,0.45,0.51,0.52,0.46,0.33,0.26,0.42,0.58,0.45,0.0,0.4,0.0,0.31,0.41,0.5,0.57,0.48,0.4,0.5,0.46,0.47,0.34,0.44,0.44,0.43,0.48,0.5,0.41,0.44,0.49,0.42,0.48,0.44,0.48,0.4,0.44,0.48,0.57,0.4,0.39,0.43,0.47
AppIntro,0.39,0.68,0.53,0.46,0.42,0.0,,0.45,0.55,0.56,0.47,0.49,0.57,0.48,0.64,0.58,0.5,0.49,0.52,0.51,0.55,0.49,0.54,0.41,0.47,0.63,0.55,0.47,0.0,0.57,0.41,0.47,0.47,0.38,0.48,0.56,0.64,0.29,0.51,0.48,0.37,0.53,0.37,0.46,1.0,0.39,0.0,0.48,0.44,0.43,0.5,0.62,0.33,0.54,0.63,0.51,0.47,0.5,0.48,0.44,0.57,0.41,0.57,0.65,0.62,0.52,0.4,0.74,0.6,0.49,0.51,0.58,0.57,0.38,0.56,0.47,0.41,0.63,0.61,0.47,0.47,0.49,0.57,0.4,0.53,0.42,0.53,0.48,0.51,0.44,0.36,0.54,0.48,0.47,0.48,0.53,0.42,0.51,0.63,0.56,0.49,0.39,0.4,0.48,0.44,0.51,0.5,0.55,0.48,0.52,0.41,0.62,0.57,0.39,0.28,0.45,0.0,0.49,0.0,0.38,0.37,0.52,0.55,0.41,0.49,0.42,0.5,0.45,0.64,0.42,0.48,0.43,0.47,0.47,0.62,0.55,0.41,0.48,0.47,0.44,0.64,0.54,0.43,0.5,0.38,0.51,0.43,0.5,0.42
BaseRecyclerViewAdapterHelper,0.4,,0.5,0.48,0.45,0.0,0.48,0.48,0.52,0.54,0.48,0.46,0.46,0.55,0.63,0.49,0.49,0.46,0.48,0.53,0.6,0.52,0.54,0.36,0.42,0.56,0.5,0.43,0.0,0.44,0.27,0.5,0.47,0.36,0.47,0.56,0.64,0.55,0.52,0.43,0.43,0.54,0.37,0.42,1.0,0.39,0.0,0.48,0.48,0.45,0.47,0.61,0.37,0.5,0.48,0.53,0.49,0.46,0.43,0.45,0.57,0.39,0.53,0.42,0.44,0.57,0.37,0.71,0.59,0.66,0.52,0.47,0.56,0.36,0.5,0.2,0.29,0.58,0.49,0.52,0.46,0.49,0.54,0.34,0.45,0.43,0.49,0.45,0.61,0.35,0.3,0.59,0.5,0.44,0.52,0.55,0.32,0.56,0.75,0.52,0.46,0.38,0.41,0.42,0.48,0.51,0.53,0.53,0.4,0.52,0.42,0.57,0.61,0.29,0.27,0.4,0.0,0.41,0.0,0.41,0.33,0.5,0.57,0.36,0.49,0.42,0.51,0.43,0.54,0.36,0.47,0.49,0.41,0.46,0.65,0.51,0.38,0.47,0.46,0.48,0.56,0.49,0.41,0.45,0.33,0.5,0.48,0.49,0.41
BottomBar,0.48,0.62,0.47,0.48,0.47,0.0,0.48,0.57,0.52,0.5,0.46,0.53,0.53,0.53,0.51,0.39,0.44,0.35,0.41,0.42,0.49,0.53,0.46,0.4,0.42,0.49,0.35,0.51,0.0,0.48,0.43,0.52,0.47,0.42,0.43,0.52,0.57,0.41,0.5,0.4,0.42,0.49,0.44,0.41,0.67,0.43,0.0,0.5,0.44,0.47,0.53,0.42,0.45,0.45,0.59,0.38,0.41,0.37,0.46,0.44,0.48,0.48,0.47,0.34,0.46,0.52,0.33,0.32,0.52,0.56,0.45,0.42,0.49,0.42,0.5,0.51,0.31,0.46,0.43,0.5,0.5,0.47,0.43,0.42,0.44,0.44,0.46,0.49,0.62,0.46,0.46,0.49,0.5,0.43,0.46,0.37,0.57,0.52,0.71,0.45,0.5,0.46,0.47,0.43,0.49,0.46,0.41,0.46,0.41,0.44,0.46,0.55,0.59,0.35,0.52,0.45,0.0,0.5,0.0,0.43,0.31,0.46,0.52,0.38,0.44,0.56,0.45,0.49,0.43,0.55,0.49,0.47,0.48,0.41,0.49,0.44,0.4,,0.47,0.48,0.53,0.4,0.46,0.52,0.38,0.44,0.6,0.48,0.51
Calligraphy,0.49,0.73,0.48,0.51,0.43,0.0,0.45,0.66,0.46,0.51,0.57,0.65,0.48,0.6,0.56,0.41,0.47,0.53,0.5,0.49,0.41,0.51,0.5,0.41,0.47,0.62,0.67,0.51,0.0,0.45,0.44,0.56,0.54,0.46,0.5,0.65,0.64,0.61,0.65,0.51,0.45,0.5,0.45,0.48,1.0,0.45,0.0,0.47,0.55,0.39,0.52,0.52,0.49,0.52,0.42,0.59,0.45,0.57,0.5,0.49,0.58,0.51,0.56,0.62,0.58,0.57,0.46,0.65,0.58,0.64,0.41,,0.55,0.43,0.58,0.27,0.4,0.46,0.51,0.53,0.48,0.48,0.51,0.41,0.43,0.49,0.47,0.47,0.65,0.47,0.39,0.51,0.52,0.45,0.42,0.42,0.57,0.44,0.71,0.54,0.57,0.39,0.42,0.5,0.54,0.52,0.45,0.52,0.5,0.53,0.45,0.62,0.63,0.33,0.37,0.52,0.0,0.54,0.0,0.58,0.36,0.46,0.44,0.51,0.49,0.58,0.5,0.5,0.6,0.54,0.44,0.55,0.47,0.49,0.57,0.55,0.51,0.57,0.46,0.46,0.54,0.52,0.46,0.52,0.44,0.53,0.54,0.52,0.5
CircleImageView,0.37,0.75,0.55,0.52,0.47,0.0,0.5,0.51,0.57,0.56,0.46,0.63,0.5,0.55,0.73,0.57,0.52,0.49,0.5,0.55,0.57,0.53,0.57,0.29,0.46,,0.66,0.53,0.0,0.59,0.28,0.54,0.5,0.37,0.47,0.6,0.64,0.52,0.65,0.49,0.42,0.56,0.38,0.47,1.0,0.41,0.0,0.51,0.51,0.5,0.48,0.66,0.33,0.56,0.71,0.5,0.48,0.55,0.47,0.49,0.58,0.45,0.6,0.48,0.6,0.61,0.25,0.9,0.61,0.64,0.47,0.59,0.56,0.33,0.59,0.2,0.3,0.52,0.65,0.55,0.55,0.49,0.57,0.38,0.56,0.38,0.53,0.49,0.68,0.4,0.3,0.64,0.51,0.45,0.51,0.64,0.45,0.55,0.75,0.55,0.46,0.4,0.4,0.47,0.49,0.52,0.59,0.56,0.45,0.56,0.43,0.71,0.61,0.3,0.28,0.47,0.0,0.5,0.0,0.57,0.33,0.52,0.55,0.35,0.49,0.51,0.54,0.46,0.64,0.51,0.48,0.51,0.44,0.47,0.69,0.55,0.44,0.55,0.48,0.52,0.75,0.55,0.44,0.52,0.35,0.51,0.48,0.51,0.46
EventBus,0.42,0.63,0.54,0.44,0.46,0.0,0.48,0.49,0.42,0.52,0.43,0.55,0.27,0.58,0.57,0.54,0.53,0.46,0.49,0.48,0.5,0.49,0.53,0.41,0.46,0.35,0.48,0.41,0.0,0.55,0.27,0.42,0.46,0.4,0.43,0.5,0.5,0.52,0.46,0.41,0.42,0.5,0.43,0.49,1.0,0.38,0.0,0.5,0.46,0.46,0.53,0.59,0.37,0.52,0.46,0.52,0.46,0.4,0.44,0.5,0.6,0.45,0.59,0.51,0.51,0.52,0.25,0.64,0.54,0.52,0.49,0.56,0.44,0.34,0.55,0.35,0.3,0.42,0.53,0.5,0.48,0.47,0.47,0.38,0.49,0.43,0.49,0.46,0.46,0.45,0.34,0.58,0.49,0.45,0.54,0.53,0.48,0.48,0.75,0.5,0.47,0.42,0.39,0.44,0.48,0.5,0.5,0.52,0.45,0.48,0.43,,0.6,0.39,0.3,0.46,0.0,0.44,0.0,0.39,0.41,0.49,0.47,0.39,0.45,0.41,0.44,0.47,0.56,0.47,0.48,0.5,0.49,0.48,0.61,0.55,0.46,0.47,0.45,0.45,0.51,0.49,0.44,0.47,0.5,0.47,0.42,0.5,0.5
FileDownloader,0.55,0.69,0.53,0.5,0.51,0.0,0.44,0.63,0.54,0.54,0.57,0.66,0.4,0.54,0.64,0.54,0.6,0.54,0.57,0.54,0.3,0.54,0.57,0.49,0.55,0.37,0.42,0.5,0.0,0.34,0.41,0.57,0.52,0.48,0.5,0.61,0.5,0.6,0.71,0.43,0.53,0.56,0.51,0.52,1.0,0.46,0.0,0.53,0.56,0.47,0.55,0.64,0.41,0.56,0.51,0.55,0.37,0.52,0.51,0.58,0.44,0.53,0.6,0.33,0.55,0.61,0.28,0.71,0.52,0.47,0.5,0.57,0.51,0.37,0.59,0.55,0.31,0.43,0.62,0.51,0.58,0.51,0.53,0.52,0.53,0.52,0.51,0.67,0.66,0.5,0.49,0.58,0.55,0.46,0.38,0.62,0.56,0.51,0.59,0.54,0.51,,0.43,0.51,0.53,0.55,0.31,0.44,0.44,0.51,0.52,0.64,0.66,0.49,0.47,0.52,0.0,0.47,0.0,0.43,0.72,0.47,0.65,0.35,0.58,0.6,0.47,0.5,0.6,0.63,0.46,0.51,0.44,0.47,0.59,0.55,0.51,0.55,0.44,0.52,0.63,0.46,0.53,0.54,0.64,0.48,0.46,0.54,0.55
FizzBuzzEnterpriseEdition,0.43,0.71,0.47,0.51,0.47,0.0,0.47,0.72,0.47,0.55,0.44,0.54,0.38,0.55,0.6,0.45,0.45,0.5,0.49,0.5,0.41,0.51,0.55,0.36,0.42,0.5,0.43,0.47,0.0,0.39,0.44,0.51,0.49,0.47,0.44,0.62,0.57,0.5,0.46,0.42,0.47,0.49,0.41,0.47,1.0,0.41,0.0,0.47,0.46,0.43,0.54,0.55,0.46,0.54,0.57,0.46,0.47,0.49,0.45,0.47,0.42,0.42,0.57,0.6,,0.59,0.5,0.54,0.46,0.64,0.5,0.52,0.48,0.42,0.54,0.48,0.41,0.26,0.49,0.54,0.5,0.38,0.52,0.38,0.52,0.43,0.5,0.5,0.73,0.45,0.42,0.56,0.47,0.43,0.4,0.38,0.46,0.52,0.69,0.5,0.46,0.41,0.49,0.41,0.48,0.46,0.37,0.43,0.47,0.46,0.45,0.44,0.54,0.42,0.44,0.45,0.0,0.51,0.0,0.63,0.4,0.39,0.43,0.48,0.4,0.59,0.51,0.49,0.48,0.55,0.48,0.53,0.45,0.46,0.56,0.52,0.42,0.47,0.43,0.45,0.65,0.44,0.43,0.47,0.48,0.5,0.57,0.46,0.49
Fragmentation,0.37,0.71,0.55,0.57,0.49,0.0,0.48,0.56,0.58,0.55,0.57,0.66,0.42,0.63,0.58,0.51,0.53,0.49,0.49,0.55,0.61,0.52,0.59,0.33,0.43,0.67,0.63,0.53,0.0,0.49,0.29,0.63,0.44,0.37,0.44,0.61,0.64,0.6,,0.48,0.43,0.52,0.39,0.5,1.0,0.43,0.0,0.46,0.56,0.53,0.51,0.63,0.44,0.55,0.69,0.57,0.47,0.57,0.49,0.49,0.62,0.48,0.62,0.58,0.39,0.58,0.25,0.81,0.62,0.65,0.5,0.47,0.57,0.37,0.56,0.21,0.3,0.55,0.52,0.56,0.55,0.48,0.55,0.39,0.54,0.43,0.5,0.49,0.67,0.4,0.32,0.64,0.52,0.46,0.57,0.62,0.43,0.55,0.75,0.53,0.56,0.41,0.51,0.49,0.54,0.54,0.58,0.56,0.45,0.51,0.46,0.7,0.64,0.31,0.31,0.44,0.0,0.51,0.0,0.55,0.33,0.54,0.57,0.36,0.49,0.46,0.56,0.5,0.62,0.51,0.48,0.54,0.43,0.45,0.68,0.55,0.43,0.55,0.51,0.51,0.72,0.54,0.44,0.5,0.35,0.56,0.54,0.49,0.45
