project,f1,precision,recall,g-score,d2h,popt20,ifa,pd,pf
flylegacy.csv,0.87,0.76,1,0.56,0.8,0.31,1,1,0.8
mcmc-jags.csv,0.57,0.5,0.67,0.68,0.42,0.5,0,0.67,0
mcore3d.csv,0.75,0.69,0.83,0.48,0.83,0.4,2,0.83,0.82
gdis.csv,0.89,0.8,1,0,1,0.33,0,1,1
liferea.csv,0.44,0.33,0.5,0.52,0.62,0.25,3,0.5,0.11
nova.csv,0.4,0.33,0.5,0.47,0.67,0.25,2,0.5,0.22
fleet-simulator.csv,1,1,1,1,0,0.25,0,1,0
japano.csv,0.96,0.93,1,0,1,0.44,0,1,1
qmcpack.csv,0.55,0.43,0.5,0.55,0.51,0.5,1,0.5,0.22
gnukeda.csv,0.71,0.67,0.75,0.71,0.5,0.44,0,0.75,0.43
powerfolder-.csv,0.5,0.5,0.5,0.54,0.54,0.5,2,0.5,0.2
jparsec.csv,0.48,0.5,0.56,0.55,0.62,0.55,1,0.56,0.29
m-m-m.csv,0.89,0.91,0.8,0.83,0.5,0.55,0,0.8,0.5
adonthell.csv,0.6,0.64,0.58,0.54,0.61,0.53,0,0.58,0.44
k3d.csv,0,0,0,0,1,0.5,40,0,0.03
fmri-dmt.csv,0,0,0,0,1,0,12,0,0
amanda.csv,0.63,0.67,0.6,0.58,0.5,0.44,2,0.6,0.17
jaql.csv,0.52,0.62,0.47,0.5,0.58,0.5,1,0.47,0.17
vars-redux.csv,0.52,0.46,0.5,0.55,0.66,0.46,2,0.5,0.43
megameknet.csv,0.51,0.67,0.5,0.56,0.5,0.57,1,0.5,0.04
autoopencas.csv,0,0,0,0,1,0,32,0,0
arianne.csv,0.48,0.56,0.52,0.47,0.81,0.56,0,0.52,0.52
sumatrapdf.csv,0.67,0.83,0.5,0.56,0.5,0.5,0,0.5,0.09
powerfolder.csv,0,0,0,0,1,0,24,0,0
openxava.csv,0,0,0,0,1,0,28,0,0
somap.csv,0.97,0.93,1,0,1,0.33,0,1,1
elateportal.csv,0.95,1,1,0.91,0.11,0.22,0,1,0
lcfizvtop.csv,0,0,0,0,1.01,0.25,10,0,0.2
arm-webradio.csv,0.44,1,0.57,0.34,0.71,0.5,0,0.57,0
geogebra.csv,0.1,0.33,0.06,0.07,0.94,0.67,3,0.06,0.03
dvd-create.csv,0.85,0.81,0.87,0.58,0.76,0.33,0,0.87,0.75
xinity.csv,0.67,0.67,0.62,0.54,0.68,0.43,0,0.62,0.6
jython.csv,0.5,0.67,0.4,0.45,0.6,0.67,1,0.4,0.03
gnupdate.csv,0.33,0.4,0.5,0.52,0.61,0.62,1,0.5,0.06
gstreamer.csv,0.76,0.71,0.8,0.75,0.5,0.31,0,0.8,0.41
plearn.csv,0.24,0.4,0.17,0.2,0.84,0.75,0,0.17,0.07
gpac.csv,0.64,0.53,0.82,0.54,0.78,0.38,1,0.82,0.7
quark.csv,0,0,0,0,1,0,11,0,0.09
xemeiah.csv,0.64,0.64,0.69,0.66,0.5,0.53,1,0.69,0.27
unflobtactical.csv,0.67,0.64,0.71,0.61,0.66,0.38,0,0.71,0.6
web-cat.csv,0.33,0.5,0.33,0.35,0.77,0.5,1,0.33,0.33
biodwh.csv,0,0,0,0,1.01,0.5,15,0,0.13
crisscross.csv,0,0,0,0,1,0.5,23,0,0.1
ofbiz.csv,0.77,0.71,0.88,0.61,0.66,0.37,0,0.88,0.58
mptvseries.csv,0.57,0.67,0.5,0.54,0.53,0.33,0,0.5,0.17
freelords.csv,0.77,0.73,0.75,0.43,0.89,0.38,1,0.75,0.83
delphilhlplib.csv,0.8,1,0.82,0.56,0.6,0.36,0,0.82,0
wow-qrsk.csv,0,0,0,0,1,0,187,0,0
les-indemodables.csv,0.53,0.56,0.57,0.59,0.53,0.38,2,0.57,0.31
runuomondains.csv,0,0,0,0,1,0,13,0,0
ontomorphtab.csv,0.63,0.71,0.71,0.47,0.62,0.38,1,0.71,0.5
libarchive.csv,0.55,0.67,0.44,0.49,0.59,0.44,0,0.44,0.14
capcode.csv,0,0,0,0,1,0.67,15,0,0.21
openmeetings.csv,0.4,1,0.25,0.29,0.75,0.5,0,0.25,0
silvertree.csv,0.44,0.43,0.4,0.44,0.7,0.5,0,0.4,0.43
hibernate.csv,0.19,0.4,0.12,0.15,0.88,0.88,3,0.12,0.06
haggle.csv,0.67,0.69,0.73,0.6,0.71,0.47,0,0.73,0.62
opensim4opencog.csv,0,0,0,0,1,0,37,0,0
jasa.csv,0.47,0.46,0.57,0.35,0.87,0.27,2,0.57,0.62
jpaul.csv,0.57,0.67,0.5,0.55,0.52,0.5,0,0.5,0.12
openmsx.csv,0.2,0.31,0.15,0.18,0.89,0.55,2,0.15,0.26
toped.csv,0.91,0.9,1,0.78,0.51,0.3,0,1,0.5
simplewebservices.csv,0.51,0.5,0.45,0.49,0.59,0.6,2,0.45,0.32
mvnforum.csv,0,0,0,0,1,0.5,10,0,0.22
reaper3d.csv,0,0,0,0,1,0,21,0,0.05
growl-for-windows.csv,0.67,0.67,0.71,0.5,0.79,0.38,0,0.71,0.67
projectts.csv,0.43,0.43,0.43,0.35,0.98,0.56,1,0.43,0.8
mvdsv.csv,0,0,0,0,1,0,13,0,0
fritzing.csv,0.58,0.57,0.64,0.6,0.6,0.5,0,0.64,0.38
wsmt.csv,0.78,0.64,0.86,0.71,0.67,0.43,0,0.86,0.17
swtfox.csv,0.75,0.7,0.75,0.77,0.29,0.62,0,0.75,0.15
pcsx2.csv,0.79,0.75,0.83,0.72,0.55,0.4,0,0.83,0.5
octave.csv,0,0,0,0,1,0,24,0,0
mule.csv,0.67,0.67,0.69,0.61,0.65,0.39,2,0.69,0.53
lamp.csv,0,0,0,0,1,0,28,0,0.04
m-a-d-n-e-s-s.csv,0.46,0.5,0.6,0.6,0.58,0.5,1,0.6,0.17
google-gears.csv,0.85,0.79,0.92,0.5,0.75,0.45,0,0.92,0.75
encog-cs.csv,0.38,0.43,0.38,0.41,0.71,0.5,3,0.38,0.22
awemud.csv,0.8,0.76,0.87,0.51,0.83,0.29,0,0.87,0.83
tycho.csv,0.73,0.71,0.71,0.7,0.44,0.5,0,0.71,0.33
tmva.csv,0.84,0.79,0.91,0.67,0.67,0.39,0,0.91,0.67
gebr.csv,0.74,0.76,0.68,0.61,0.63,0.43,0,0.68,0.62
rocrail.csv,0.67,0.5,0.5,0.56,0.5,0.5,1,0.5,0.12
trackit.csv,0.63,0.6,0.67,0.46,0.84,0.45,0,0.67,0.8
ossbuild.csv,0,0,0,0,1,0,49,0,0
foursquared.csv,0.36,0.43,0.4,0.42,0.75,0.33,0,0.4,0.22
pentahoanalysistool.csv,0.33,0.25,0.33,0.37,0.9,0.5,6,0.33,0.33
extprosys.csv,0.38,0.33,0.4,0.44,0.66,0.54,2,0.4,0.11
utgb.csv,0.5,0.5,0.43,0.44,0.76,0.4,0,0.43,0.5
jmri.csv,0.46,0.5,0.42,0.41,0.71,0.56,0,0.42,0.33
virtuoso.csv,0,0,0,0,1,0,35,0,0
qmmp.csv,0.73,0.75,0.69,0.7,0.38,0.5,1,0.69,0.25
exordium.csv,0.4,0.5,0.5,0.54,0.64,0.5,1,0.5,0.18
bigdata.csv,0.94,0.88,1,0,1,0.39,0,1,1
k3b.csv,0.7,0.73,0.67,0.59,0.69,0.36,1,0.67,0.6
myfaces.csv,0.17,0.33,0.1,0.12,0.9,0.67,2,0.1,0.02
google-web-toolkit.csv,0.73,0.61,0.9,0.51,0.83,0.35,2,0.9,0.8
genecys.csv,0.92,0.87,0.92,0,1,0.42,0,0.92,1
taverna.csv,0.5,0.5,0.4,0.45,0.61,0.67,0,0.4,0.18
jsidplay2.csv,0.77,0.78,0.75,0.56,0.65,0.36,0,0.75,0.5
fltk.csv,0.66,0.7,0.74,0.59,0.72,0.44,1,0.74,0.45
tradelink.csv,0,0,0,0,1.01,0.5,17,0,0.2
irrlicht.csv,0.87,0.77,1,0,1,0.42,0,1,1
jguard.csv,0.5,0.5,0.5,0.53,0.66,0.55,2,0.5,0.27
jitterbit.csv,0.61,0.72,0.53,0.58,0.48,0.61,2,0.53,0
etherboot.csv,0,0,0,0,1.01,0.67,15,0,0.23
customwars.csv,0.22,0.2,0.25,0.29,0.78,0.6,4,0.25,0.16
webdriver.csv,0.5,0.67,0.44,0.48,0.62,0.44,0,0.44,0.27
mediate.csv,0.67,0.67,0.62,0.63,0.67,0.43,1,0.62,0.5
plee-the-bear.csv,0,0,0,0,1,0,110,0,0
levent.csv,0.67,0.67,0.67,0.47,0.82,0.43,0,0.67,0.75
mia.csv,0,0,0,0,1,0,37,0,0
unladen-swallow.csv,0,0,0,0,1,0,590,0,0
apertium.csv,0.46,0.5,0.6,0.6,0.58,0.5,0,0.6,0.33
vapor.csv,0.25,0.33,0.2,0.24,0.81,0,2,0.2,0.07
xstore.csv,0.64,0.57,0.6,0.55,0.76,0.46,2,0.6,0.38
qcad2.csv,0.52,0.67,0.67,0.65,0.54,0.57,1,0.67,0.21
fluent-nhibernate.csv,0.29,0.33,0.25,0.29,0.75,0.62,2,0.25,0.06
wxlua.csv,0.95,0.9,1,0,1,0.42,0,1,1
ivef-sdk.csv,1,1,1,1,0,0.5,0,1,0
modplug.csv,0.87,0.82,0.91,0.77,0.53,0.36,0,0.91,0.5
dxengine.csv,0.44,0.5,0.4,0.44,0.63,0.5,1,0.4,0.2
jmonkeyengine.csv,0,0,0,0,1,0.4,12,0,0.2
jahshaka.csv,0.4,0.33,0.33,0.38,0.67,0.33,2,0.33,0.1
mimosa.csv,0.67,0.71,0.62,0.65,0.44,0.43,0,0.62,0.22
mclient-mume.csv,0.83,0.83,0.83,0.82,0.26,0.4,0,0.83,0.2
echongl.csv,0.94,0.95,0.95,0.91,0.14,0.29,0,0.95,0.14
azureus.csv,0.25,0.4,0.18,0.21,0.82,0.67,2,0.18,0.06
modellus.csv,0.59,0.64,0.59,0.59,0.58,0.41,0,0.59,0.41
nh3d.csv,0,0,0,,1,0,70,,0
gss.csv,0.8,0.83,0.67,0.72,0.33,0.33,1,0.67,0.25
lufa-lib.csv,0.53,0.58,0.48,0.52,0.58,0.75,2,0.48,0.26
cleartk.csv,0.91,0.89,0.95,0.62,0.7,0.33,0,0.95,0.67
kdenlive.csv,0.77,0.75,0.8,0.71,0.54,0.4,0,0.8,0.5
jppf-project.csv,0.94,0.94,0.94,0,1,0.33,0,0.94,1
synecdoche.csv,0.6,0.67,0.5,0.55,0.52,0.5,0,0.5,0.22
nosleepsoftware.csv,0.67,0.67,0.67,0.7,0.35,0.5,1,0.67,0.11
brlcad.csv,0,0,0,0,1,0,301,0,0
img-browse-sort.csv,0,0,0,0,1.01,0.5,8,0,0.14
ns-3.csv,0.75,0.65,0.9,0.42,0.87,0.38,1,0.9,0.87
h2database.csv,0,0,0,0,1,0,83,0,0
opentibia.csv,0.94,0.94,1,0.8,0.5,0.42,0,1,0.5
electric-core.csv,0,0,0,0,1,0,152,0,0
ctrlr.csv,0.2,0.2,0.2,0.23,0.87,0.6,1,0.2,0.18
co-ode-owl-plugins.csv,0.5,1,0.5,0.56,0.5,0.5,0,0.5,0
galaxium.csv,0.46,0.5,0.57,0.57,0.59,0.6,2,0.57,0.17
wxstudio.csv,0.62,0.67,0.57,0.6,0.48,0.5,0,0.57,0.3
owfs.csv,0,0,0,0,1.02,0.67,11,0,0.2
emono.csv,0.67,0.71,0.69,0.57,0.62,0.5,0,0.69,0.5
gwanted.csv,0,0,0,0,1,0.57,31,0,0.11
acegisecurity.csv,0.33,0.3,0.38,0.42,0.71,0.6,1,0.38,0.24
javaprofiler.csv,0.71,0.71,0.73,0.62,0.73,0.5,0,0.73,0.71
ffigo.csv,0.71,0.65,0.73,0.51,0.76,0.38,0,0.73,0.67
esmf.csv,0,0,0,0,1,0,31,0,0
glas.csv,0.46,0.5,0.43,0.47,0.63,0.44,0,0.43,0.27
quarkplusplus.csv,0.44,0.5,0.4,0.44,0.66,0.67,1,0.4,0.33
reaper-ecad.csv,0.15,0.09,0.2,0.24,0.8,0.5,4,0.2,0.03
aubit4gl.csv,0.64,0.6,0.64,0.62,0.63,0.38,2,0.64,0.44
abbot.csv,0.8,0.73,0.88,0.59,0.76,0.27,0,0.88,0.75
cuberok.csv,0.5,0.4,0.5,0.45,0.76,0.43,2,0.5,0.71
mp-rechnungs-und-kundenverwaltung.csv,0.3,0.29,0.33,0.36,0.78,0.71,1,0.33,0.15
ultimairis.csv,0.53,0.67,0.44,0.49,0.56,0.67,0,0.44,0.1
fbmanager.csv,0.62,0.62,0.57,0.59,0.54,0.38,1,0.57,0.33
frogatto.csv,0.59,0.56,0.71,0.55,0.71,0.4,2,0.71,0.57
crux-framework.csv,0,0,0,,1,0,22,,0
go.csv,0.82,0.78,0.88,0.79,0.46,0.32,0,0.88,0.44
pfaedit.csv,0.76,0.61,1,0,1,0.28,3,1,1
poormans.csv,0.46,0.5,0.43,0.48,0.58,0.67,1,0.43,0.12
rectracker.csv,0.8,0.82,0.82,0.75,0.44,0.44,0,0.82,0.4
nullc.csv,0.91,0.83,1,0,1,0.42,0,1,1
emftriple.csv,0.5,0.5,1,0.81,0.5,0.5,1,1,0.04
kmess.csv,0.71,0.63,0.67,0.5,0.78,0.38,0,0.67,0.64
taokgame.csv,0.67,1,0.5,0.56,0.5,0,0,0.5,0
alsa.csv,0.77,0.63,1,0,1,0.35,1,1,1
riff-evolve.csv,0.55,0.59,0.61,0.56,0.58,0.55,0,0.61,0.39
xtreemfs.csv,0.92,0.88,0.98,0.67,0.62,0.29,1,0.98,0.58
kindb.csv,0.86,0.86,0.86,0.81,0.36,0.29,1,0.86,0.33
hatari.csv,0.67,0.67,0.67,0.68,0.44,0.4,1,0.67,0.29
oppna-program-hsatools.csv,0.96,0.92,1,0.88,0.4,0.36,0,1,0.4
sylpheed-claws.csv,0.59,0.64,0.55,0.58,0.54,0.45,1,0.55,0.36
repositorium.csv,0,0,0,0,1,0,18,0,0
smbopensoft.csv,0.74,0.74,0.8,0.77,0.39,0.35,0,0.8,0.3
pydev.csv,0.38,0.33,0.43,0.45,0.73,0.5,4,0.43,0.29
tolven.csv,0.46,0.5,0.38,0.43,0.63,0.67,1,0.38,0.11
uwom-server.csv,0,0,0,0,1,0,44,0,0
linux-ntfs.csv,0.67,0.67,0.6,0.65,0.63,0.33,1,0.6,0.2
ngl.csv,0.7,0.68,0.74,0.7,0.5,0.44,0,0.74,0.38
sabbu.csv,0.7,0.67,0.73,0.71,0.45,0.42,1,0.73,0.36
gpsmid.csv,0.7,0.67,0.7,0.66,0.55,0.36,2,0.7,0.38
lazarus-ccr.csv,0.6,0.6,0.6,0.51,0.75,0.33,0,0.6,0.33
gbif-providertoolkit.csv,0,0,0,0,1,0.5,14,0,0.14
bibedt.csv,0.4,0.33,0.5,0.54,0.56,0.5,2,0.5,0.25
leechcraft.csv,0.5,0.5,0.5,0.46,0.78,0.5,1,0.5,0.4
xharbour.csv,0.89,0.82,1,0,1,0.33,0,1,1
truevision.csv,0.4,0.5,0.43,0.45,0.71,0.5,2,0.43,0.21
pustefix.csv,0.22,0.2,0.25,0.29,0.82,0.57,3,0.25,0.33
ossim.csv,0,0,0,0,1,0,55,0,0
wikipediardware.csv,0.67,0.67,0.62,0,1.01,0.44,1,0.62,1
vxl.csv,0,0,0,0,1,0,29,0,0
natpad.csv,0.71,0.67,0.67,0.67,0.38,0.44,0,0.67,0.23
tart.csv,0,0,0,0,1,0,18,0,0
atlc.csv,0.74,0.83,0.75,0.67,0.41,0.43,0,0.75,0.2
yafdotnet.csv,0.63,0.63,0.63,0.65,0.47,0.47,0,0.63,0.26
bwapi.csv,0.93,0.92,0.96,0.79,0.57,0.54,0,0.96,0.29
emite.csv,0.31,0.33,0.33,0.34,0.87,0.5,2,0.33,0.5
thout.csv,0.32,0.38,0.22,0.26,0.78,0.62,2,0.22,0.13
autowikibrowser.csv,0.57,0.56,0.56,0.6,0.57,0.43,2,0.56,0.27
opengs.csv,0.59,0.7,0.64,0.64,0.55,0.5,1,0.64,0.19
bacnet.csv,0.22,0.33,0.14,0.17,0.86,0.5,3,0.14,0.29
t-2.csv,0.25,0.33,0.25,0.29,0.76,0.83,0,0.25,0.01
ardour.csv,0.71,0.62,0.83,0.66,0.66,0.37,2,0.83,0.64
xcsoar.csv,0.61,0.6,0.64,0.64,0.58,0.39,2,0.64,0.36
codepurge.csv,0.29,0.5,0.2,0.24,0.8,0.67,1,0.2,0.07
jgnash.csv,0.2,0.2,0.2,0.24,0.81,0,4,0.2,0.03
flylinkdc.csv,0.4,0.5,0.29,0.34,0.72,0.67,0,0.29,0.1
adaptagrams.csv,0.67,0.67,0.8,0.67,0.5,0.25,1,0.8,0.4
projecteqemu.csv,0.67,0.62,0.71,0.7,0.44,0.5,1,0.71,0.33
igarden.csv,0.36,0.4,0.33,0.37,0.7,0.67,1,0.33,0.21
nebuladevice.csv,0,0,0,0,1,0,16,0,0
officefloor.csv,0,0,0,0,1,0,275,0,0
plplot.csv,0.4,0.4,0.25,0.29,0.75,0.4,3,0.25,0.09
paintown.csv,0.69,0.62,0.77,0.72,0.49,0.42,1,0.77,0.33
ondex.csv,0,0,0,0,1,0,39,0,0
lphant.csv,0.67,0.67,0.75,0.76,0.53,0.33,1,0.75,0.17
miranda.csv,0.8,0.66,1,0,1,0.34,2,1,1
gephex.csv,0.71,0.67,0.71,0.51,0.73,0.38,0,0.71,0.56
openwbem.csv,0.44,0.52,0.42,0.46,0.64,0.5,1,0.42,0.1
micomt.csv,0.5,0.67,0.33,0.38,0.67,0,1,0.33,0.08
zscreen.csv,0.76,0.8,0.8,0.7,0.42,0.42,0,0.8,0.4
uclmda.csv,0.99,0.97,1,0.83,0.5,0.25,0,1,0.5
jcae.csv,0,0,0,0,1,0,17,0,0.07
codeblocks.csv,0.85,0.74,0.96,0,1,0.41,1,0.96,1
upp-mirror.csv,0.76,0.69,0.85,0.68,0.54,0.38,0,0.85,0.44
arsenal-1.csv,0.25,0.33,0.2,0.23,0.87,0.5,1,0.2,0.5
unbvision.csv,0.5,0.5,0.5,0.54,0.53,0.57,0,0.5,0.12
openfrag.csv,0.64,0.6,0.69,0.6,0.67,0.5,0,0.69,0.5
zildo.csv,0.47,0.5,0.5,0.47,0.75,0.44,3,0.5,0.62
olex2.csv,0.57,0.58,0.5,0.55,0.55,0.46,1,0.5,0.21
enzo.csv,0.91,0.85,1,0.67,0.63,0.35,0,1,0.6
kvs.csv,0.31,0.22,0.25,0.29,0.75,0,6,0.25,0
adobe-source.csv,0,0,0,0,1,0,31,0,0
x4x.csv,0.93,0.89,1,0.83,0.5,0.33,0,1,0.5
openmalaria.csv,0.5,0.5,0.38,0.42,0.67,0.5,2,0.38,0.3
autofac.csv,0.22,0.33,0.17,0.2,0.9,0.5,3,0.17,0.57
stajistics.csv,0.46,0.43,0.5,0.53,0.59,0.6,2,0.5,0.29
konversation.csv,0.4,0.4,0.5,0.55,0.51,0.5,2,0.5,0.06
net-snmp.csv,0.47,0.5,0.5,0.5,0.69,0.45,1,0.5,0.3
uface.csv,0.91,0.88,0.95,0.9,0.28,0.32,0,0.95,0.27
n2cms.csv,0.4,0.4,0.4,0.43,0.7,0.67,1,0.4,0.27
pdfedit.csv,0.67,0.67,0.56,0.6,0.47,0.44,1,0.56,0.33
nutz.csv,0.43,0.43,0.43,0.47,0.61,0.6,0,0.43,0.12
cornerstone.csv,0.5,0.5,0.5,0.49,0.75,0.4,0,0.5,0.56
planeshift.csv,0.83,0.78,0.9,0.53,0.81,0.31,0,0.9,0.8
google-caja.csv,0.85,0.78,0.93,0.59,0.69,0.3,1,0.93,0.6
phet.csv,0.25,0.6,0.21,0.25,0.82,0.8,1,0.21,0.07
maya-work-in-progress.csv,0.62,0.6,0.5,0.56,0.55,0.4,0,0.5,0.1
bibletime.csv,0.86,0.8,0.92,0,1,0.33,0,0.92,1
firebreath.csv,0.57,0.57,0.67,0.64,0.54,0.5,1,0.67,0.32
qpe.csv,0,0,0,0,1,0,99,0,0
smartgwt.csv,0.69,0.8,0.72,0.76,0.44,0.4,0,0.72,0.05
blue-c.csv,0.67,0.8,0.67,0.56,0.5,0.38,0,0.67,0.2
jbpm.csv,0.62,0.83,0.5,0.55,0.5,0.83,0,0.5,0.01
ontopia.csv,0.9,0.88,0.93,0.66,0.68,0.29,0,0.93,0.67
turbotrader-bos.csv,0.48,0.55,0.41,0.46,0.61,0.48,0,0.41,0.18
xapian.csv,0.5,0.6,0.4,0.45,0.6,0.5,0,0.4,0.11
keyczar.csv,0.78,0.78,0.78,0.47,0.7,0.4,0,0.78,0.67
vrjuggler.csv,0,0,0,0,1,0,14,0,0
aime.csv,0,0,0,0,1,0,16,0,0
ipfilter.csv,0.94,1,1,0.91,0.25,0.4,0,1,0
libmesh.csv,0.33,0.33,0.33,0.37,0.82,0.8,0,0.33,0.3
smarttag.csv,0,0,0,0,1.07,0.33,10,0,0.38
sauerbraten.csv,0.71,0.73,0.75,0.64,0.65,0.3,0,0.75,0.6
super-tux.csv,0.95,0.95,0.95,0,1,0.42,0,0.95,1
jgossipforum.csv,0,0,0,0,1,0,44,0,0.02
aufs.csv,0.62,0.67,0.5,0.56,0.5,0.5,0,0.5,0.12
flexpay.csv,0,0,0,0,1,0,102,0,0
sandiaportals.csv,0.86,0.85,0.9,0.8,0.5,0.36,0,0.9,0.5
nicepress.csv,0.46,0.5,0.43,0.47,0.61,0.5,1,0.43,0.21
archive-crawler.csv,0.44,0.5,0.4,0.45,0.63,0.67,1,0.4,0.18
mob-sen-plat.csv,0.67,0.75,0.67,0.62,0.56,0.33,1,0.67,0.5
selenium.csv,0.64,0.62,0.58,0.61,0.56,0.46,1,0.58,0.36
sbml.csv,0.8,0.8,0.8,0.71,0.54,0.31,1,0.8,0.5
gisgraphy.csv,0.6,0.6,0.6,0.63,0.45,0.5,0,0.6,0.2
jaxen.csv,0,0,0,0,1,0,16,0,0.06
mediaportal.csv,0,0,0,0,1,0,126,0,0
pokeglobal.csv,0.5,0.5,0.5,0.38,0.83,0.5,0,0.5,0.5
impala.csv,0.22,0.25,0.2,0.24,0.8,0,2,0.2,0
agilitybook.csv,0,0,0,0,1,0,56,0,0
ipfire-wall.csv,0.55,0.43,0.75,0.68,0.56,0.33,1,0.75,0.25
open-data-kit.csv,0.71,0.63,0.8,0.52,0.77,0.37,1,0.8,0.5
betoffice.csv,0.32,0.3,0.33,0.3,0.95,0.5,1,0.33,0.44
madman.csv,0,0,0,0,1.01,0.4,9,0,0.2
panda3d.csv,0,0,0,0,1,0,29,0,0
openintents.csv,0.33,0.29,0.25,0.26,0.93,0.4,2,0.25,0.67
emisview.csv,0.22,0.25,0.2,0.23,0.85,0.67,3,0.2,0.27
htmlunit.csv,0.45,0.67,0.29,0.34,0.71,0.8,0,0.29,0.08
firebird.csv,0.66,0.63,0.69,0.66,0.55,0.37,0,0.69,0.42
sarasvati.csv,0,0,0,0,1,0,33,0,0.03
ildjit.csv,0.67,1,0.5,0.56,0.5,0.67,0,0.5,0
clamav.csv,0.8,0.67,0.75,0.79,0.29,0.4,1,0.75,0.29
nodal.csv,0.4,0.4,0.4,0.44,0.64,0.67,2,0.4,0.23
cme.csv,1,1,1,1,0,0,0,1,0
dsworkbench.csv,0.82,0.75,0.9,0.38,0.9,0.33,1,0.9,0.67
qgo.csv,0.73,0.75,0.67,0.7,0.36,0.33,0,0.67,0.14
qgis.csv,0.67,0.65,0.65,0.66,0.46,0.5,0,0.65,0.39
neodatis-odb.csv,0.5,0.62,0.5,0.53,0.58,0.57,0,0.5,0.21
biopax.csv,0.83,0.8,0.86,0.58,0.76,0.4,1,0.86,0.75
fceugc.csv,0.44,0.6,0.5,0.53,0.6,0.4,0,0.5,0.25
zxing.csv,0.82,0.77,0.82,0.5,0.82,0.36,0,0.82,0.75
kml.csv,0.73,0.75,0.57,0.62,0.43,0.5,1,0.57,0.25
grafx2.csv,0.38,0.62,0.33,0.35,0.76,0.43,2,0.33,0.43
motu.csv,0.57,0.5,0.5,0.56,0.5,0.33,1,0.5,0.11
dataobjectsdotnet.csv,0.49,0.55,0.43,0.47,0.62,0.7,1,0.43,0.31
jajuk.csv,0.62,0.67,0.56,0.59,0.51,0.4,2,0.56,0.21
jruby.csv,0.93,0.86,1,0,1,0.36,0,1,1
vienna-add-in.csv,0.59,0.77,0.5,0.51,0.7,0.5,1,0.5,0.62
ifmo-game-1.csv,0,0,0,0,1,0,15,0,0.07
skia.csv,0.33,0.5,0.25,0.29,0.76,0.5,1,0.25,0.11
rezilla.csv,0.57,0.5,0.5,0.55,0.52,0.5,1,0.5,0.12
jedit.csv,0.63,0.7,0.58,0.61,0.5,0.5,1,0.58,0.27
auber.csv,0.71,0.67,0.69,0.67,0.51,0.41,0,0.69,0.36
raven-monitoring.csv,0.5,0.6,0.43,0.47,0.61,0.62,0,0.43,0.27
sblim.csv,0.42,0.27,0.5,0.55,0.69,0.33,2,0.5,0.06
ktc.csv,0.72,0.72,0.65,0.69,0.35,0.39,1,0.65,0.24
retromenu.csv,0.44,0.4,0.5,0.53,0.6,0.43,2,0.5,0.33
java-gnome.csv,0.92,0.92,0.92,0.71,0.45,0.36,0,0.92,0.33
xbg.csv,0,0,0,0,1,0,12,0,0.09
novembre.csv,0.29,0.25,0.33,0.36,0.76,0.5,3,0.33,0.25
personalaccess.csv,0.91,0.83,1,0,1,0.36,1,1,1
mesa3d.csv,0,0,0,0,1,0,64,0,0
columba.csv,0.53,0.73,0.42,0.47,0.58,0.64,1,0.42,0.07
