,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,kmatplot.csv,pclasses.csv,agilitybook.csv,triplea.csv,raygina.csv,wpdev.csv,owfs.csv,olap-navigator.csv,pokeglobal.csv,nova.csv,sauerbraten.csv,graphmak.csv,jgameai.csv,gpsmid.csv,empyrean.csv,awemud.csv,crisscross.csv,re2c.csv,tzod.csv,octave.csv,adaptagrams.csv,open-media-library.csv,vdsf.csv,alit.csv,orc.csv,lazarus-ccr.csv,n2cms.csv,forester-atv.csv,mob-sen-plat.csv,nh3d.csv,amanda.csv,rectracker.csv,dynalloy.csv,mpqc.csv,thout.csv,benojt.csv,sabbu.csv,unladen-swallow.csv,powerfolder-.csv,barracudamvc.csv,guineu.csv,,,
graphmak.csv,1,0,0.67,0,0,0,0,0.27,0,0.01,0.91,0.08,0.31,0,0.57,0.6,0.1,0.09,0,0.26,0.03,0,0,0,0,0.38,0.95,0,0,0,0.79,0.12,0,0,0.65,1,0,0.13,0.14,0.38,1,0,0.06,0.96,0.02,0.55,0.92,0.24,1,0.1,,0.73,0.63,0.87,0.74,0.57,0,0.37,0.32,0.62,0.15,0,0.2,0.31,0,0.21,0,0.97,0,0,0,0.48,0,0.5,0.53,0.03,0,0.06,0.49,0.69,15,48,0.3125
gtad.csv,1,,0.5,0,0,0,0,0.02,0,0,0.73,0.37,0,0,0.9,0.6,0.85,0.01,0,0.43,0,0,0,0,0,0.88,1,0,0,0,0.43,0.97,0,0,0.7,1,0,0,0.04,0.34,0.91,0,0,1,0,0.73,0.7,0.02,1,0,0.92,0.69,0.35,0.97,0.67,1,0,0.04,0,0.96,0,0,0.17,0.81,0,0.29,0,0.7,0,0,0.05,0.17,0,0.61,0.72,0.19,0,0.58,0.89,0.85,25,54,0.462962963
guineu.csv,0,1,0.58,1,1,1,1,1,1,1,0.18,0.77,0.97,1,0.02,0.4,0.4,0.96,1,0.91,0.73,1,1,1,1,0.21,0,1,1,1,0.79,0.3,1,1,0,0,1,1,1,0.86,0,1,1,0,1,0.45,0.02,1,0,1,0.52,0.08,0.98,0,0.23,0,1,0.96,1,0.62,1,1,0,0.5,1,0.81,1,0.27,1,1,1,1,1,0.16,0.16,0.84,1,1,0,,51,25,2.04
h2database.csv,1,1,1,1,0,0.18,0.88,1,1,0.65,1,1,1,,1,1,1,1,0.96,1,1,0,0,0,0.82,1,1,1,1,1,1,1,0.23,1,1,1,0.04,1,1,1,1,0.58,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,0.04,1,0.88,1,0,0.46,1,1,0,1,1,1,0,1,1,1,63,14,4.5
jahshaka.csv,1,0,0,0,0,0,0,0,0,0,,0,0,0,0.62,0,0.2,0,0,0,0,0,0,0,0,0.1,0.67,0,0,0,0,0.12,0,0,0.3,0,0,0,0,0,0.09,0,0,0.36,0,0,0.31,0,0.23,0,0.04,0.08,0,0.64,0,0.48,0,0,0,0,0,0,0.08,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.31,2,76,0.026315789
jahshakafx.csv,1,1,1,0.9,0,0.26,0.61,1,1,,1,0.92,1,0,1,1,1,0.88,0.54,1,1,0,0,0,0.56,1,1,0.89,0.91,0.2,1,1,0.54,0.92,1,1,0.08,1,1,1,1,0.47,0.94,1,0.89,1,1,1,1,1,1,1,0.98,1,1,1,0,1,0.91,1,0.98,0.66,,1,0.25,1,0.92,1,0,0.58,1,0.96,0,1,1,1,0,0.97,1,1,58,16,3.625
jaql.csv,1,1,0.92,0,0,0,0,0.93,0.05,0,1,0.67,0.25,0,1,1,1,0.79,0,0.89,0.99,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0.2,,0.86,1,0,0.72,1,0,1,1,0.59,1,0,1,0.96,0.88,1,1,1,0,0.81,0,1,0.65,0,,1,0,0.83,0.04,1,0,0,0.91,0.58,0,1,0.98,1,0,0.87,1,1,43,33,1.303030303
jedit.csv,1,1,1,0.98,0,,1,1,1,0.99,1,0.97,1,0.4,1,1,1,1,0.96,1,1,0,0.68,0,0.97,1,1,1,1,0.8,1,1,0.92,0.93,1,1,0.54,1,0.99,1,1,0.74,1,1,0.99,1,0.92,1,1,1,1,1,0.98,1,1,1,0,1,1,1,1,1,0.89,1,1,1,1,1,0,0.67,1,1,0.15,1,1,1,0,1,1,1,70,9,7.777777778
jgameai.csv,0,0.5,0,0,0,0,0,0,0,0,0.18,0.07,0,0,0.26,0,0.05,0,0,0.03,0,0,0,0,0,0.21,0,0,0,0,0,0.06,0,0,0.1,0,0,0,0.01,0,0,0,0,0.72,0,0,0.02,0,0.69,0,0.28,,0,0.19,0.13,0.14,0,0,0,0.35,0.08,0,0,0,0,0.02,0,0,0,0,0,0.02,0,0.02,0.04,0,0,0,0.01,0.12,2,75,0.026666667
jmoney.csv,1,0,0.33,0,0,0,0,0,0,0,0.73,0.2,0,0,0.95,0.2,,0,0,0.11,0,0,0,0,0,0.69,0.69,0,0,0,0.14,0.91,0,0,0.88,1,0,0,0,0,0.73,0,0,0.92,0,0.45,0.72,0,0.85,0,0.72,0.92,0,0.83,0.55,0.81,0,0,0,0.73,0,0,0.18,0.69,0,0.06,0,0.39,0,0,0,0,0,0.55,0.78,0.17,0,0.1,0.75,0.73,21,59,0.355932203
kmatplot.csv,0,0.5,0.75,0.5,0,0.07,0.12,0.5,0.68,0.04,0.36,0.3,0.24,0.04,0.57,0.4,0.45,0.28,0.04,0.6,0.01,0,0,0,0.1,0.38,0.95,0.58,0.27,0.4,0.29,0.85,0.08,0.54,0.32,1,0.03,0.17,0.31,,0.82,0.08,0.28,0.68,0.21,1,0.28,0.39,1,0.44,0.84,0.58,0.41,0.71,0.27,0.24,0,0.74,0.23,0.92,0.52,0.43,0.32,0.44,0,0.21,0.35,0.79,0.25,0.02,0.32,0.31,0,0.45,0.32,0.6,0,0.48,0.49,0.69,15,51,0.294117647
ktc.csv,1,1,1,1,,0.98,0.98,1,1,0.98,1,1,1,0.98,1,1,1,1,1,1,1,0.6,0.92,0,0.95,1,1,1,1,1,1,1,0.95,0.98,1,1,0.95,1,1,1,1,0.92,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,,1,1,1,1,1,0.25,0.98,1,1,0.6,1,1,1,0,1,1,1,72,3,24
lamp.csv,1,0.5,0.17,0.1,0,0.05,0,0.57,0.58,0,0.73,0.38,0.18,0,0.57,0.4,0.85,0.4,0.19,0.51,0.35,0,0,0,0,0.6,0.36,0.05,0.59,0,,0.91,0,0.02,0.67,1,0,0.57,0.36,0.38,0.36,0,0.56,0.68,0.03,0.45,0.74,0.49,0,0.03,0.52,0.12,0.35,0.59,0.21,0.95,0,0.59,0,0.92,0.4,0,0.62,1,0,0.38,0.62,0.33,0,0,0.77,0.08,0,0.39,0.63,0.41,0,0.84,0.51,0.85,14,57,0.245614035
lazarus-ccr.csv,1,1,1,0.98,0,0.39,0.98,1,1,0.14,1,1,1,0.09,1,1,1,0.99,1,1,1,0,0.19,0,0.36,1,1,0.56,0.95,1,1,1,0.59,1,1,1,0.75,1,1,1,1,0.55,1,1,0.98,1,1,1,1,1,1,1,1,1,0.99,1,0,1,0.77,0.96,1,1,0.97,1,,1,0.96,1,0,0.02,1,1,0,1,1,1,0,1,1,1,63,10,6.3
logicmail.csv,1,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0.83,1,0.7,0,0,0.03,0,0,0,0,0,0.71,1,0,0,0,0,,0,0,0.69,1,0,0,0,0,1,0,0,1,0,1,0.7,0,1,0,0.28,0.62,0,1,0.18,1,0,0,0,0.31,0,0,0.85,0.62,0,0,0,0.09,0,0,0,0,0,0.18,0.24,0,0,0,0.66,0.35,17,62,0.274193548
mob-sen-plat.csv,0,1,0.58,0.99,1,1,1,0.95,1,1,0.73,0.77,0.88,1,0.4,0.2,0.7,0.76,1,0.66,0.99,1,1,1,1,0.48,0,1,1,1,0.57,0.64,1,1,0.78,0,1,0.77,0.94,0.83,0.36,1,0.94,0.32,1,0.64,0.57,1,0,1,0.48,0.46,0.9,0.64,0.59,0.29,1,0.59,0.95,0.85,0.88,1,0.25,0.88,1,0.73,1,,1,1,0.84,0.94,1,0.7,0.7,0.93,1,0.94,0.75,0.46,56,7,8
mpqc.csv,0,0,0.08,0,0,0,0,0,0,0,0.27,0.1,0.12,0,0.07,0.2,0,0.1,0,0.03,0,0,0,0,0,0.12,0.43,0.03,0,0,0.07,0,0,0,0.22,0,0,0,0,0.07,0.36,0,0,0.12,0.03,0.27,0.36,0.02,0.31,0,0.04,0.42,0.02,0.41,0.18,0.33,0,0,0,0.12,0,0,0.61,0,0,0.02,0,0,0,0,0,0.04,,0.05,0.03,0.14,0,0,0.04,0,0,68,0
n2cms.csv,1,0.5,0.75,0,0,0,0,0.07,0,0,0.73,0.25,0.4,0,0.6,0.6,0.85,0.2,0,0.23,0.18,0,0,0,0,0.38,0.48,0.04,0,0,0.36,0.94,0,0,0.95,0,0,0,0.23,0.76,0.55,0,0.22,0.92,0.22,0.64,0.8,0.49,1,0,0.92,0.38,0.22,0.99,0.67,0.9,0,0.26,0.18,1,0.2,0,0.03,0.81,0,,0.04,0.21,0,0,0.57,0.19,0,0.32,0.49,0.24,0,0.58,0.96,0.31,17,56,0.303571429
neoengine.csv,1,1,1,0.35,0,0,0,1,0.89,0,1,0.98,0.99,0,1,1,1,0.88,0.01,1,1,0,0,0,0,1,1,,0.68,0,1,1,0,0.22,1,1,0,0.93,0.98,1,1,0,0.91,1,0.54,1,1,0.95,1,0.97,1,1,0.98,1,1,1,0,1,0.32,1,0.9,0.45,,1,0,1,0.62,1,0,0,1,0.98,0,1,1,1,0,1,1,1,52,26,2
net-snmp.csv,0,1,1,0.62,0,0.25,,1,0.95,0.28,1,0.73,0.84,0.02,0.95,1,1,0.72,0.49,0.94,1,0,0.08,0,0.44,0.98,1,0.49,0.91,0.8,0.93,0.91,0.21,0.61,0.99,1,0.17,0.7,0.99,0.93,1,0.42,0.81,1,0.69,0.82,1,0.8,1,0.79,0.96,1,0.92,0.99,1,1,0,0.81,0.73,1,0.85,0.93,,1,0.04,0.92,0.77,0.94,0,0,0.98,0.9,0,1,0.97,0.9,0,1,1,0.96,56,17,3.294117647
nh3d.csv,1,1,1,0.98,0,0.44,0.66,1,1,0.72,1,1,0.99,0.21,1,1,1,0.99,0.91,1,1,0,0.27,0,0.87,1,1,0.93,1,1,1,1,0.38,0.9,1,1,0.34,0.87,1,0.93,1,0.66,0.97,1,0.95,1,1,1,1,0.97,1,1,1,1,1,1,0,1,0.55,1,0.98,1,0.69,1,0.33,1,0.73,1,,0.6,1,1,0,1,1,0.98,0,1,1,1,63,10,6.3
nova.csv,0,0,0.08,0,0,0,0,0,0,0,0.09,0.02,0.01,0,0.45,0,0.35,0.05,0,0.03,0,0,0,0,0,0.1,0.24,0,0,0,0.07,0.12,0,0,0.24,0,0,0,0,0.1,0.36,0,0,0.32,0,0.09,0.23,0,,0,0.12,0,0,0.32,0.17,0.43,0,0,0,0.19,0,0,0.03,0.06,0,0.02,0,0.03,0,0,0,0,0,0.05,0.04,0,0,0,0.2,0.04,0,74,0
octave.csv,1,1,1,0.05,0,0,0,0.77,0.05,0,1,0.77,0.62,0,1,0.8,1,0.64,0,0.86,0.86,0,0,0,0,0.98,1,0.17,0.05,0,0.93,1,0,0.02,1,1,0,0.6,0.68,0.9,1,0,0.59,1,0.16,0.91,0.97,0.66,1,0.59,1,1,0.92,1,0.95,1,0,0.89,,1,0.5,0,0.87,1,0,0.88,0.19,1,0,0,0.86,0.73,0,0.95,0.98,0.74,0,0.87,1,0.96,44,33,1.333333333
olap-navigator.csv,1,1,0.25,0,0,0,0,0.27,0,0,0.55,0.27,0.13,0,0.74,0.4,0.9,0.39,0,0.23,0.31,0,0,0,0,0.76,0.9,0,0.05,0,0.07,0.88,0,0,0.98,1,0,0.37,0.32,0.24,0.36,0,0.25,0.8,0,0.36,,0.24,0.38,0,0.84,0.73,0.41,0.75,0.71,1,0,0.07,0,1,0.12,0,0.85,0.88,0,0.46,0.04,0.21,0,0,0.61,0.02,0,0.66,0.72,0.36,0,0.74,0.79,0.5,21,51,0.411764706
open-media-library.csv,1,0.5,0.58,0.55,1,1,0.24,0.86,0.21,0.88,0.45,0.5,0.53,1,0.52,0,0.55,0.02,0.9,0.83,0.99,1,0.89,1,0.79,0.48,0,0.84,0.91,0.6,0.5,0.45,0.87,0.78,0.62,0,0.99,0.73,0.73,0.76,0.55,0.76,0.38,0.36,0.59,0,0.16,0.73,0,0.77,0.76,0.31,0.86,0.29,0.47,0.76,1,0.63,0.68,0.62,,0.99,0.2,0.5,1,0.52,0.92,0.64,1,0.96,0.7,0.73,1,0.36,0.65,0.74,1,0.45,0.67,0.69,41,16,2.5625
openwbem.csv,1,1,1,0.87,0,0.72,0.61,1,1,0.79,1,0.98,0.99,0.19,1,1,1,0.98,0.62,1,1,0,0.49,0,0.72,1,1,0.89,1,0.2,1,1,0.74,0.9,1,1,,1,1,1,1,0.61,0.94,1,0.8,1,0.97,1,1,1,1,1,1,1,1,1,0,1,0.95,1,1,0.92,0.83,1,0.79,1,0.81,1,0,0.63,1,1,0,1,1,1,0,1,1,1,65,10,6.5
orc.csv,0,1,0.33,1,1,1,1,1,1,1,0,0.53,0.79,1,0,0,0.3,0.99,1,0.54,0.98,1,1,1,1,0.07,0,1,1,1,0.79,0.06,1,1,0,0,1,0.97,1,0.79,0,1,1,0,1,0.09,0.02,1,0,1,0.08,0,0.88,0,0.21,0,1,0.81,1,0.38,1,1,0,,1,0.79,1,0,1,1,1,0.92,1,0.09,0.05,0.33,1,1,0.1,0.38,48,28,1.714285714
owfs.csv,0,0,0.08,0,0,0,0,0.02,0,0,0.73,0.05,0,0,0.76,0,0.45,0.01,0,0.23,0,0,0,0,0,0.43,0.93,0,0,0,0.21,0.39,0,0,0.75,1,0,0,0,0.14,0.36,0,0.03,0.76,0,,0.51,0,0.77,0,0.32,0.54,0,0.68,0.04,0.67,0,0,0,0.58,0,0,0.51,0.25,0,0,0,0.33,0,0,0,0.02,0,0.5,0.48,0,0,0,0.35,0.62,9,61,0.147540984
owlib.csv,1,1,0.83,,0,0.05,0.46,0.7,0.37,0.81,0.82,0.67,0.56,0.04,0.83,0.8,0.85,0.49,0.2,0.63,0.76,0,0.14,0,0.49,0.71,0.74,0.82,0.23,0.2,0.86,0.88,0.46,0.49,0.65,1,0.24,0.27,0.64,0.86,0.73,0.55,0.66,1,0.44,1,0.67,0.88,0.92,0.85,0.84,0.62,0.86,0.9,0.68,1,0,0.85,0.59,0.96,0.62,0.6,0.15,0.94,0.04,0.6,0.73,0.73,0.25,0.6,0.91,0.87,0,0.66,0.86,0.72,0,0.9,0.9,0.81,42,28,1.5
paintown.csv,1,1,1,0.19,0,0,0,0.18,0.79,0.01,1,0.73,,0,0.88,0.4,0.25,0.32,0.02,0.4,0.43,0,0,0,0.26,0.83,1,0.88,0.05,0.2,0.43,0.7,0,0.05,0.86,0,0,0.17,0.59,0.97,1,0.03,0.25,1,0.22,1,0.67,0.41,1,0.54,0.84,0.92,0.41,0.99,1,1,0,0.3,0.36,1,0,0,0.54,0.44,0,0.58,0.12,0.24,0,0,0.32,0.65,0,0.64,0.89,0.02,0,0.32,0.81,0.54,26,36,0.722222222
pclasses.csv,0,0,0,0,0,0,0,0.11,0,0,0,0.25,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.03,0,0,0.29,0,0,0.7,0.02,0.03,,0,0,0,0,0,0.33,0,0,0,0.08,0,0,0.03,0.01,0,0,0,0,0,0.02,0,0.01,0.12,0,0,0,0.12,0,0,0,0.04,0,0.07,0.05,0,0,0,0.28,0.23,1,76,0.013157895
plearn.csv,1,1,0.92,0.15,0,0,0,0.64,0.11,0,0.82,0.85,0.49,0,1,0.2,0.95,0.35,0.01,0.51,0.93,0,0,0,0,0.93,0.67,0.31,0,0,0.64,0.94,0,,1,1,0,0.57,0.7,0.83,1,0,0.25,1,0.24,0.64,1,0.66,0.92,0.33,0.96,0.88,0.78,0.99,0.82,1,0,0.67,0,1,0.35,0,0.17,0.94,0,0.71,0.19,0.73,0,0,0.64,0.85,0,0.82,0.92,0.45,0,0.94,0.99,0.92,36,37,0.972972973
pokeglobal.csv,1,1,0.92,0.19,0,0,0.07,0.86,0.89,0,1,0.75,0.91,0,1,1,1,0.19,0.02,0.94,1,0,0,0,0,1,1,0.12,0,0,1,1,0,0.05,1,1,0,0.6,0.9,1,1,0,0.62,1,0.49,1,1,,1,0.51,1,1,0.92,1,1,1,0,0.81,0.27,1,0.42,0.07,0.39,1,0,0.94,0.19,1,0,0,0.84,0.81,0,1,0.98,0.93,0,0.55,1,0.96,44,27,1.62962963
powerfolder-.csv,0,0.5,0.08,0.59,0.17,0.41,0.02,0.59,0.79,0.17,0.18,0.22,0.21,0.3,0.43,0.2,0.75,0.55,0.18,0.14,0.29,0.41,0.19,0,0.23,0.4,0.55,0.24,0.59,0.6,0,0.58,0.38,0.66,0.8,0,0.2,0.8,0.61,0.38,0.36,0.11,0.47,0.2,0.26,0.36,0.3,0.17,0,0.03,0.52,0.19,0.47,0.32,0.22,0.57,0,0.63,0.27,0.81,0.28,0.03,0.77,0.62,0.29,0.17,0.42,0.3,0,0.21,0.46,0.04,0.05,0.23,0.13,0.24,0,,0.43,0.46,6,57,0.105263158
