,freedom-erp.csv,twostep.csv,iaml.csv,etics.csv,neoengine.csv,nsis.csv,vdsf.csv,monetdb.csv,amygdala.csv,ikvm.csv,jicarilla.csv,metacosm.csv,mplayer-ce.csv,moviesandbox.csv,uwom.csv,geotools.csv,jrdf.csv,ng4j.csv,bloodycore.csv,jahshakafx.csv,jstock.csv,nassp.csv,soar.csv,xbplayer.csv,scite-ru.csv,mobicents.csv,jcache.csv,flylegacy.csv,mcmc-jags.csv,mcore3d.csv,gdis.csv,gtad.csv,liferea.csv,nova.csv,fleet-simulator.csv,japano.csv,qmcpack.csv,gnukeda.csv,powerfolder-.csv,jparsec.csv,m-m-m.csv,adonthell.csv,k3d.csv,fmri-dmt.csv,amanda.csv,jaql.csv,bzbyte.csv,,
gdis.csv,0.57,0.37,0.6,0.2,0.37,0.7,0.09,0.34,0.56,0.31,0.49,0.55,0.45,0.57,0.43,0.29,0.3,0.38,0.27,0.32,0.25,0.24,0.55,0.39,0.48,0.5,0.47,0.67,0.51,0.66,,0.12,0.32,0.49,0.53,0.9,0.33,0.56,0.29,0.4,0.82,0.51,0.28,0.15,0.41,0.37,0.72,4,7
geotools.csv,0.42,0.37,0.51,0.24,0.6,0.92,0.09,0.68,0.52,0.54,0.47,0.47,0.55,0.56,0.78,,0.2,0.25,0.85,0.69,0.27,0.79,0.43,0.32,0.71,0.49,0.45,0.26,0.26,0.63,0.81,0.03,0.23,0.23,0.87,0.77,0.32,0.55,0.3,0.39,0.84,0.56,0.85,0.09,0.54,0.43,0.76,11,15
gnukeda.csv,0.42,0.37,0.43,0.29,0.63,0.91,0.91,0.68,0.52,0.56,0.47,0.47,0.55,0.56,0.78,0.72,0.2,0.27,0.85,0.7,0.27,0.79,0.46,0.65,0.71,0.49,0.45,0.26,0.26,0.45,0.33,0.12,0.23,0.23,0.97,0.89,0.32,,0.37,0.39,0.84,0.56,0.85,0.13,0.54,0.57,0.72,13,16
gtad.csv,0.42,0.62,0.43,0.35,0.62,0.09,0.91,0.68,0.52,0.58,0.4,0.53,0.55,0.58,0.78,0.72,0.53,0.37,0.85,0.7,0.73,0.79,0.45,0.68,0.71,0.49,0.77,0.26,0.46,0.32,0.19,,0.67,0.23,0.84,0.43,0.59,0.45,0.67,0.46,0.59,0.5,0.85,0.6,0.54,0.62,0.59,11,19
iaml.csv,0.58,0.61,,0.78,0.63,0.17,0.53,0.32,0.51,0.42,0.53,0.53,0.45,0.47,0.22,0.31,0.81,0.72,0.15,0.63,0.62,0.34,0.54,0.62,0.29,0.51,0.55,0.67,0.75,0.56,0.71,0.86,0.77,0.79,0.42,0.48,0.62,0.54,0.36,0.55,0.16,0.46,0.16,0.47,0.53,0.57,0.6,8,16
ikvm.csv,0.62,0.69,0.56,0.36,0.36,0.82,0.7,0.66,0.51,,0.51,0.52,0.55,0.46,0.78,0.63,0.32,0.37,0.85,0.41,0.23,0.52,0.41,0.44,0.7,0.5,0.43,0.34,0.28,0.6,0.36,0.47,0.37,0.42,0.56,0.68,0.36,0.44,0.29,0.54,0.61,0.56,0.45,0.5,0.46,0.46,0.59,5,11
jahshakafx.csv,0.42,0.37,0.54,0.24,0.52,0.92,0.59,0.68,0.52,0.75,0.47,0.47,0.55,0.56,0.78,0.61,0.2,0.25,0.85,,0.27,0.62,0.48,0.44,0.71,0.49,0.45,0.26,0.26,0.66,0.81,0.03,0.23,0.23,0.9,0.88,0.32,0.56,0.3,0.39,0.84,0.56,0.75,0.09,0.67,0.4,0.76,11,16
japano.csv,0.42,0.41,0.48,0.27,0.57,0.68,0.91,0.68,0.6,0.52,0.5,0.48,0.55,0.53,0.78,0.72,0.31,0.27,0.85,0.68,0.29,0.79,0.52,0.71,0.71,0.49,0.45,0.26,0.35,0.43,0.23,0.23,0.44,0.3,0.73,,0.47,0.51,0.37,0.39,0.8,0.45,0.85,0.31,0.54,0.41,0.73,11,15
jaql.csv,0.42,0.37,0.46,0.45,0.62,0.75,0.91,0.68,0.52,0.58,0.47,0.47,0.55,0.56,0.78,0.72,0.2,0.25,0.85,0.7,0.29,0.79,0.46,0.68,0.71,0.49,0.45,0.26,0.26,0.32,0.19,0.14,0.23,0.23,0.87,0.81,0.36,0.46,0.35,0.39,0.84,0.57,0.85,0.24,0.54,,0.69,12,16
jcache.csv,0.51,0.73,0.44,0.44,0.65,0.4,0.56,0.6,0.53,0.65,0.43,0.64,0.54,0.67,0.63,0.57,0.51,0.47,0.72,0.78,0.7,0.48,0.46,0.68,0.71,0.62,,0.54,0.77,0.57,0.66,0.84,0.32,0.6,0.34,0.49,0.67,0.46,0.54,0.67,0.33,0.51,0.59,0.49,0.55,0.59,0.64,7,20
jicarilla.csv,0.42,0.63,0.43,0.76,0.62,0.08,0.91,0.68,0.47,0.58,,0.45,0.55,0.44,0.78,0.72,0.8,0.75,0.85,0.7,0.77,0.79,0.45,0.68,0.71,0.49,0.19,0.26,0.74,0.32,0.19,0.97,0.77,0.6,0.13,0.07,0.68,0.45,0.7,0.59,0.16,0.44,0.85,0.91,0.54,0.61,0.24,17,24
jparsec.csv,0.42,0.86,0.43,0.75,0.62,0.08,0.91,0.68,0.53,0.58,0.3,0.66,0.55,0.59,0.78,0.72,0.47,0.54,0.85,0.7,0.79,0.79,0.45,0.68,0.71,0.49,0.79,0.26,0.46,0.32,0.19,0.93,0.61,0.25,0.19,0.25,0.68,0.45,0.67,,0.36,0.45,0.85,0.85,0.54,0.63,0.43,14,22
jrdf.csv,0.42,0.63,0.43,0.8,0.62,0.08,0.91,0.68,0.53,0.58,0.49,0.47,0.55,0.47,0.78,0.72,,0.43,0.85,0.7,0.77,0.79,0.45,0.68,0.71,0.49,0.44,0.26,0.33,0.32,0.19,0.97,0.77,0.23,0.35,0.07,0.68,0.45,0.7,0.39,0.69,0.44,0.85,0.91,0.54,0.61,0.24,14,21
jstock.csv,0.42,0.49,0.41,0.62,0.63,0.26,0.91,0.68,0.47,0.58,0.43,0.31,0.55,0.58,0.78,0.72,0.74,0.57,0.85,0.7,,0.79,0.45,0.68,0.71,0.49,0.71,0.26,0.25,0.35,0.2,0.84,0.32,0.23,0.66,0.22,0.71,0.51,0.71,0.59,0.38,0.62,0.85,0.78,0.54,0.65,0.36,14,21
k3d.csv,0.42,0.34,0.38,0.35,0.69,0.45,0.82,0.67,0.66,0.54,0.34,0.59,0.55,0.61,0.78,0.71,0.5,0.46,0.85,0.71,0.62,0.72,0.46,0.5,0.71,0.49,0.45,0.26,0.49,0.41,0.53,0.71,0.4,0.42,0.5,0.52,0.52,0.55,0.5,0.42,0.51,0.48,,0.46,0.56,0.56,0.64,8,14
liferea.csv,0.42,0.37,0.43,0.64,0.62,0.1,0.91,0.68,0.52,0.58,0.47,0.47,0.55,0.62,0.78,0.72,0.24,0.29,0.85,0.7,0.59,0.79,0.45,0.68,0.71,0.49,0.45,0.26,0.37,0.32,0.19,0.96,,0.37,0.66,0.53,0.7,0.45,0.74,0.38,0.82,0.5,0.85,0.66,0.54,0.61,0.53,12,20
m-m-m.csv,0.42,0.32,0.43,0.29,0.62,0.08,0.91,0.68,0.52,0.58,0.49,0.47,0.55,0.59,0.78,0.72,0.45,0.33,0.85,0.7,0.73,0.79,0.45,0.68,0.71,0.49,0.41,0.26,0.3,0.32,0.19,0.97,0.79,0.23,0.34,0.25,0.68,0.45,0.7,0.39,,0.56,0.85,0.85,0.54,0.61,0.32,13,18
mcmc-jags.csv,0.42,0.65,0.43,0.73,0.62,0.08,0.91,0.68,0.63,0.58,0.4,0.6,0.55,0.63,0.78,0.72,0.53,0.65,0.85,0.7,0.54,0.79,0.45,0.68,0.71,0.49,0.72,0.26,,0.32,0.19,0.97,0.75,0.53,0.34,0.25,0.7,0.45,0.55,0.43,0.39,0.44,0.85,0.75,0.54,0.63,0.52,14,23
mcore3d.csv,0.43,0.37,0.58,0.24,0.38,0.89,0.46,0.59,0.52,0.54,0.47,0.47,0.55,0.54,0.78,0.32,0.2,0.25,0.85,0.71,0.23,0.34,0.55,0.49,0.75,0.52,0.45,0.62,0.26,,0.84,0.03,0.23,0.28,0.87,0.93,0.32,0.55,0.3,0.39,0.84,0.55,0.62,0.09,0.6,0.39,0.76,10,13
metacosm.csv,0.42,0.63,0.43,0.76,0.62,0.08,0.91,0.68,0.48,0.58,0.53,,0.55,0.44,0.78,0.72,0.8,0.75,0.85,0.7,0.77,0.79,0.45,0.68,0.71,0.49,0.57,0.26,0.74,0.32,0.19,0.97,0.77,0.77,0.13,0.07,0.68,0.45,0.7,0.61,0.16,0.44,0.85,0.91,0.54,0.61,0.24,18,25
mobicents.csv,0.7,0.37,0.57,0.24,0.38,0.92,0.09,0.32,0.52,0.42,0.47,0.47,0.55,0.56,0.78,0.28,0.2,0.25,0.85,0.3,0.23,0.21,0.55,0.32,0.29,,0.45,0.74,0.26,0.68,0.81,0.03,0.23,0.23,0.87,0.93,0.32,0.55,0.3,0.39,0.84,0.56,0.15,0.09,0.46,0.39,0.76,10,10
monetdb.csv,0.64,0.37,0.57,0.24,0.38,0.92,0.09,,0.52,0.42,0.47,0.47,0.58,0.56,0.79,0.37,0.2,0.25,0.68,0.31,0.23,0.21,0.55,0.32,0.4,0.56,0.45,0.74,0.26,0.68,0.81,0.03,0.23,0.23,0.87,0.93,0.32,0.55,0.3,0.39,0.84,0.56,0.17,0.09,0.47,0.39,0.76,8,10
moviesandbox.csv,0.42,0.35,0.43,0.76,0.62,0.08,0.91,0.68,0.45,0.58,0.44,0.57,0.55,,0.78,0.72,0.65,0.58,0.85,0.7,0.7,0.79,0.45,0.68,0.71,0.49,0.41,0.26,0.68,0.32,0.19,0.97,0.77,0.63,0.4,0.47,0.68,0.45,0.67,0.39,0.74,0.48,0.85,0.81,0.54,0.61,0.25,14,23
mplayer-ce.csv,0.42,0.63,0.43,0.76,0.62,0.08,0.91,0.68,0.48,0.58,0.53,0.53,,0.44,0.78,0.72,0.8,0.75,0.85,0.7,0.77,0.79,0.45,0.68,0.71,0.49,0.55,0.26,0.74,0.32,0.19,0.97,0.77,0.77,0.13,0.07,0.68,0.45,0.7,0.61,0.16,0.44,0.85,0.91,0.54,0.61,0.24,18,25
nassp.csv,0.42,0.37,0.47,0.24,0.66,0.53,0.69,0.68,0.52,0.63,0.47,0.47,0.55,0.56,0.78,0.72,0.2,0.25,0.85,0.73,0.32,,0.45,0.59,0.71,0.49,0.45,0.26,0.26,0.53,0.76,0.27,0.35,0.23,0.9,0.73,0.38,0.58,0.3,0.39,0.84,0.56,0.85,0.13,0.56,0.52,0.76,11,15
neoengine.csv,0.42,0.37,0.47,0.24,,0.92,0.67,0.68,0.52,0.56,0.47,0.47,0.55,0.56,0.78,0.71,0.2,0.25,0.85,0.7,0.23,0.79,0.46,0.53,0.71,0.49,0.45,0.26,0.26,0.55,0.83,0.03,0.23,0.23,0.87,0.93,0.32,0.62,0.3,0.39,0.84,0.56,0.85,0.09,0.54,0.42,0.76,13,16
ng4j.csv,0.58,0.7,0.56,0.31,0.38,0.91,0.09,0.32,0.52,0.42,0.29,0.6,0.45,0.62,0.22,0.28,0.23,,0.15,0.3,0.45,0.21,0.55,0.32,0.29,0.51,0.63,0.74,0.74,0.68,0.81,0.03,0.23,0.68,0.47,0.84,0.32,0.55,0.3,0.42,0.41,0.57,0.15,0.13,0.46,0.39,0.73,7,12
nova.csv,0.42,0.62,0.43,0.75,0.62,0.1,0.91,0.68,0.48,0.58,0.57,0.45,0.55,0.53,0.78,0.72,0.78,0.58,0.85,0.7,0.64,0.79,0.45,0.68,0.71,0.49,0.57,0.26,0.56,0.33,0.19,0.9,0.81,,0.42,0.11,0.64,0.48,0.7,0.54,0.31,0.47,0.85,0.87,0.54,0.61,0.27,14,21
nsis.csv,0.58,0.61,0.57,0.36,0.38,,0.09,0.32,0.48,0.42,0.5,0.55,0.45,0.43,0.22,0.28,0.61,0.61,0.15,0.3,0.66,0.21,0.54,0.35,0.29,0.51,0.56,0.74,0.7,0.68,0.81,0.1,0.18,0.7,0.13,0.4,0.41,0.54,0.5,0.61,0.16,0.49,0.15,0.37,0.46,0.39,0.65,4,11
powerfolder-.csv,0.43,0.54,0.42,0.6,0.6,0.22,0.9,0.74,0.42,0.62,0.41,0.45,0.55,0.43,0.79,0.54,0.39,0.54,0.84,0.72,0.68,0.69,0.43,0.68,0.7,0.57,0.4,0.39,0.58,0.34,0.33,0.23,0.61,0.77,0.35,0.51,0.68,0.55,,0.4,0.48,0.44,0.72,0.63,0.61,0.55,0.53,8,18
qmcpack.csv,0.42,0.35,0.43,0.24,0.62,0.23,0.91,0.68,0.52,0.58,0.47,0.47,0.55,0.56,0.78,0.72,0.2,0.25,0.85,0.7,0.52,0.79,0.45,0.68,0.71,0.49,0.45,0.26,0.26,0.32,0.19,0.64,0.47,0.23,0.87,0.62,,0.45,0.66,0.39,0.84,0.5,0.85,0.34,0.54,0.62,0.56,10,17
scite-ru.csv,0.42,0.37,0.49,0.24,0.58,0.9,0.65,0.69,0.51,0.69,0.47,0.47,0.55,0.56,0.78,0.34,0.2,0.25,0.85,0.72,0.3,0.57,0.57,0.62,,0.49,0.45,0.48,0.26,0.68,0.67,0.16,0.32,0.3,0.79,0.93,0.33,0.65,0.3,0.39,0.84,0.54,0.81,0.13,0.64,0.39,0.75,9,17
soar.csv,0.58,0.63,0.45,0.76,0.6,0.08,0.79,0.32,0.48,0.44,0.53,0.53,0.45,0.44,0.22,0.33,0.8,0.75,0.15,0.31,0.73,0.24,,0.68,0.29,0.51,0.55,0.74,0.74,0.43,0.19,0.97,0.77,0.77,0.13,0.07,0.68,0.45,0.71,0.61,0.16,0.44,0.15,0.91,0.46,0.59,0.24,12,17
twostep.csv,0.58,,0.57,0.73,0.38,0.92,0.09,0.32,0.58,0.42,0.43,0.52,0.45,0.56,0.22,0.28,0.53,0.49,0.15,0.3,0.39,0.21,0.55,0.32,0.29,0.51,0.59,0.74,0.6,0.68,0.81,0.03,0.23,0.7,0.47,0.8,0.32,0.55,0.3,0.61,0.23,0.6,0.15,0.19,0.46,0.39,0.76,7,11
uwom.csv,0.42,0.66,0.43,0.65,0.68,0.37,0.9,0.68,0.6,0.54,0.31,0.53,0.55,0.62,,0.64,0.2,0.56,0.85,0.73,0.52,0.76,0.52,0.72,0.71,0.49,0.8,0.28,0.61,0.43,0.36,0.53,0.7,0.58,0.74,0.65,0.64,0.59,0.47,0.4,0.61,0.49,0.86,0.31,0.62,0.63,0.69,10,24
vdsf.csv,0.42,0.63,0.43,0.76,0.62,0.08,,0.68,0.48,0.58,0.53,0.66,0.55,0.44,0.78,0.72,0.8,0.75,0.85,0.7,0.77,0.79,0.45,0.68,0.71,0.49,0.55,0.26,0.74,0.32,0.19,0.97,0.77,0.77,0.13,0.07,0.68,0.45,0.7,0.61,0.16,0.44,0.85,0.91,0.54,0.61,0.24,17,25
xbplayer.csv,0.42,0.38,0.5,0.24,0.62,0.48,0.91,0.68,0.52,0.58,0.4,0.47,0.55,0.56,0.78,0.72,0.32,0.25,0.85,0.7,0.32,0.79,0.5,,0.71,0.49,0.48,0.26,0.26,0.36,0.36,0.41,0.25,0.23,0.97,0.66,0.45,0.52,0.34,0.48,0.79,0.6,0.85,0.22,0.54,0.58,0.73,11,15
