,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,guineu.csv,,,
jahshaka.csv,1,0,0,0,0,0,0,0,0,0,,0,0,0,0.71,0,0.31,0,0,0,0,0,0,0,0,0.16,0.78,0,0,0,0,0.21,0,0,0.46,0,0,0,0,0.42,3,3,2
jahshakafx.csv,0.02,0.05,0.23,0.55,0,0.41,0.53,0.22,0.48,,0.31,0.67,0.66,0,0.88,0.13,0.49,0.92,0.65,0.57,0.66,0,0,0,0.25,0.68,0.88,0.58,0.12,0.03,0.18,0.77,0.46,0.45,0.99,0.02,0.15,0.69,0.57,0.47,5,11,15
jaql.csv,0.02,0.06,0.22,0,0,0,0,0.26,0.08,0,0.31,0.61,0.32,0,0.88,0.13,0.5,0.87,0,0.62,0.66,0,0,0,0,0.68,0.88,0,0,0,0.18,0.77,0,0,0.99,0.02,0,0.29,,0.47,5,9,9
jedit.csv,0.02,0.05,0.23,0.57,0,,0.62,0.21,0.45,0.61,0.31,0.68,0.65,0.29,0.88,0.13,0.49,0.99,0.86,0.57,0.66,0,0.5,0,0.15,0.68,0.88,0.55,0.07,0.11,0.18,0.77,0.55,0.43,0.99,0.02,0.53,0.63,0.56,0.47,6,13,18
jmoney.csv,0.02,0,0.29,0,0,0,0,0,0,0,0.39,0.33,0,0,0.85,0.13,,0,0,0.19,0,0,0,0,0,0.58,0.78,0,0,0,0.12,0.83,0,0,0.93,0.04,0,0,0,0.55,4,4,6
ktc.csv,0.02,0.05,0.23,0.57,,0.62,0.63,0.21,0.41,0.49,0.31,0.69,0.65,0.23,0.88,0.13,0.49,0.99,0.86,0.57,0.66,0.72,0.45,0,0.16,0.68,0.88,0.55,0.07,0.13,0.18,0.77,0.53,0.44,0.99,0.02,0.56,0.64,0.56,0.47,7,14,19
lamp.csv,0.03,0.04,0.22,0.16,0,0.09,0,0.3,0.65,0,0.53,0.48,0.28,0,0.66,0.19,0.61,0.57,0.31,0.43,0.47,0,0,0,0,0.59,0.53,0.1,0.21,0,,0.83,0,0.03,0.8,0.06,0,0.62,0.43,0.58,2,6,9
logicmail.csv,0.05,0,0,0,0,0,0,0,0,0,0.32,0.06,0,0,0.82,0.14,0.61,0,0,0.06,0,0,0,0,0,0.64,0.88,0,0,0,0,,0,0,0.81,0.06,0,0,0,0.35,3,5,5
neoengine.csv,0.02,0.05,0.23,0.44,0,0,0,0.23,0.56,0,0.31,0.69,0.66,0,0.88,0.13,0.49,0.93,0.01,0.57,0.66,0,0,0,0,0.68,0.88,,0.17,0,0.18,0.77,0,0.31,0.99,0.02,0,0.72,0.57,0.47,6,10,13
net-snmp.csv,0,0.06,0.25,0.45,0,0.34,,0.21,0.44,0.29,0.31,0.6,0.63,0.04,0.87,0.13,0.49,0.83,0.59,0.61,0.66,0,0.15,0,0.22,0.67,0.88,0.44,0.09,0.15,0.18,0.75,0.28,0.42,0.99,0.02,0.23,0.64,0.56,0.46,5,11,13
openwbem.csv,0.02,0.05,0.23,0.55,0,0.73,0.54,0.21,0.43,0.61,0.31,0.68,0.67,0.27,0.88,0.13,0.49,0.98,0.72,0.57,0.66,0,0.5,0,0.2,0.68,0.88,0.55,0.07,0.03,0.19,0.77,0.5,0.45,0.99,0.02,,0.67,0.56,0.47,7,13,17
owlib.csv,0.02,0.09,0.24,,0,0.09,0.51,0.27,0.35,0.63,0.32,0.66,0.64,0.07,0.8,0.17,0.54,0.66,0.32,0.48,0.64,0,0.2,0,0.28,0.62,0.78,0.57,0.11,0.08,0.22,0.77,0.4,0.5,0.78,0.02,0.34,0.35,0.55,0.45,4,10,12
paintown.csv,0.03,0.05,0.23,0.25,0,0,0,0.1,0.53,0.02,0.31,0.61,,0,0.81,0.15,0.23,0.49,0.04,0.36,0.39,0,0,0,0.2,0.63,0.88,0.54,0.03,0.12,0.17,0.61,0,0.09,0.92,0,0,0.23,0.41,0.49,3,6,6
plearn.csv,0.02,0.11,0.3,0.25,0,0,0,0.25,0.12,0,0.36,0.72,0.59,0,0.88,0.07,0.48,0.52,0.02,0.38,0.63,0,0,0,0,0.67,0.78,0.42,0,0,0.2,0.75,0,,0.99,0.02,0,0.57,0.52,0.46,5,7,9
prelude.csv,0.02,0,0.31,0,0,0,0,0,0,0,0.37,0.23,0,0,0.8,0.11,0.61,0.02,0,0.22,0,0,0,0,0,0.54,,0,0,0,0.11,0.82,0,0,0.85,0.04,0,0,0,0.46,3,4,4
qgo.csv,0.02,0.06,0.23,0.32,0,0,0,0.23,0.8,0,0.31,0.65,0.64,0,0.88,0.13,0.49,0.91,0.01,0.57,0.66,0,0,0,0,0.68,0.88,0.26,0.1,0,0.18,0.77,0,0,0.99,0.02,0,,0.59,0.44,6,10,12
qpe.csv,0.02,0.06,0.21,0.42,0,0,0,0.22,0.17,0,0.31,0.68,0.65,0,0.88,0.13,0.49,0.85,0.09,0.57,0.64,0,0,0,,0.68,0.88,0.56,0.14,0,0.18,0.77,0,0.3,0.99,0.02,0,0.58,0.57,0.47,5,9,13
raven-monitoring.csv,0,0.09,0.39,0.57,0.57,0.62,0.62,0.21,0.4,0.47,0.17,0.49,0.62,0.22,0.24,0.12,0.5,0.98,0.85,,0.64,0.9,0.43,0.58,0.14,0.48,0.09,0.54,0.07,0.14,0.19,0.47,0.53,0.45,0.15,0,0.53,0.57,0.58,0.33,3,7,12
reactos-mirror.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhex.csv,0,0,,0,0,0,0,0,0,0,0.3,0.19,0,0,0.77,0,0.38,0.07,0,0.06,0,0,0,0,0,0.46,0.64,0,0,0,0,0.48,0,0,0.66,0,0,0,0,0.22,1,3,3
selenium.csv,0.02,0,0.24,0,0,0,0,0,0,0,0.31,,0.11,0,0.88,0.05,0.49,0.26,0,0.43,0.57,0,0,0,0,0.68,0.88,0,0,0,0.18,0.77,0,0,0.99,0.02,0,0,0.02,0.47,4,5,6
smbopensoft.csv,0.02,0.09,0.23,0.08,0,0,0,0.27,0,0,0.29,0.66,0.44,0,0.86,0.13,0.5,0.91,0,0.52,,0,0,0,0,0.67,0.88,0.05,0,0,0.17,0.75,0,0,0.76,0.02,0,0.25,0.46,0.44,5,7,7
umber.csv,0.02,0.06,0.23,0.34,0,0,0,0.21,,0,0.31,0.59,0.59,0,0.88,0.13,0.49,0.97,0.07,0.56,0.64,0,0,0,0,0.66,0.88,0.28,0.05,0,0.18,0.77,0,0.15,0.99,0.02,0,0.32,0.53,0.45,5,7,10
werx.csv,0.02,0.05,0.23,0.57,0.57,0.62,0.62,0.21,0.41,0.47,0.31,0.66,0.65,0.22,0.88,0.13,0.49,0.99,0.86,0.57,0.66,0.9,0.43,0.58,0.14,0.67,0.88,0.55,0.07,0.13,0.18,0.77,0.53,0.45,,0.02,0.53,0.63,0.56,0.48,6,13,19
wgs-assembler.csv,0.02,0.05,0.23,0.59,0,0,0.15,0.21,0.49,0.5,0.31,0.69,0.67,0,0.88,0.13,0.49,0.91,0.4,0.57,0.66,0,0,0,0.29,0.68,0.88,0.6,0.13,0.04,0.18,0.77,,0.45,0.99,0.02,0,0.72,0.57,0.47,6,11,14
x4x.csv,0.02,0,0.25,0,0,0,0,0,0,0,0.31,0,0.03,0,,0.15,0.46,0.12,0,0.28,0.36,0,0,0,0,0.64,0.88,0,0,0,0,0.75,0,0,0.98,0,0,0,0,0.4,3,4,4
xbrlapi.csv,0.07,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0.66,0,0.2,0,0,0.16,0,0,0,0,0,,0.84,0,0,0,0,0.28,0,0,0.67,0,0,0,0,0.32,1,3,3
xharbour.csv,0.02,0.05,0.23,0.57,0.59,0.62,0.62,0.21,0.41,0.47,0.31,0.69,0.65,0.22,0.88,0.13,0.49,0.99,0.86,0.57,0.66,,0.43,0,0.14,0.68,0.88,0.55,0.07,0.13,0.18,0.77,0.53,0.45,0.99,0.02,0.53,0.63,0.56,0.47,6,13,18
