ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,fix
1,1,1,0,4,2,195,4,77.05922454,1,334,14.0736334,193,TRUE
1,1,1,0,2,0,201,23,0.984166667,1,333,12.24305309,142,FALSE
1,1,1,0,1,1,201,23,22.71706019,1,1,0,0,FALSE
1,1,1,0,2,1,200,23,10.61886574,1,1,0,0,TRUE
1,1,1,0,3,2,77,2,110.0140509,1,1,0,0,FALSE
1,1,3,1.572623664,6,5,98.33333333,24,9.932550154,2,332,18.67605015,141,FALSE
1,1,2,1,2,2,181.5,5,40.49940394,2,3,2,2,FALSE
1,1,1,0,9,1,199,9,0.053912037,1,2,0,1,TRUE
1,1,1,0,9,5,195,9,40.43362269,1,3,0.5,1,FALSE
1,1,1,0,1,0,59,3,1.82162037,1,331,22.07812376,140,FALSE
1,1,1,0,5,1,39,2,265.3836343,1,3,0,2,TRUE
1,1,3,1.224394445,4,14,101.3333333,24,30.11687114,3,330,20.70246236,139,TRUE
1,2,3,1.148834854,7,0,26,6,34.92370756,3,329,18.89674392,134,FALSE
2,3,4,1.978484594,11,8,20.75,7,23.32527778,2,328,16.89862362,162.5,FALSE
1,1,1,0,1,1,212,23,6.77087963,1,1,0,0,FALSE
1,3,5,2.108458593,31,1,36.6,7,54.29732407,4,2,0,0,FALSE
1,1,1,0,1,1,212,23,12.97811343,1,1,0,0,FALSE
2,3,5,1.014404445,35,11,101.4,7,10.35108796,5,327,34.98698749,161.5,FALSE
1,1,3,1.368035492,63,56,230.3333333,10,78.14394676,3,326,32.98698749,190,FALSE
1,1,2,0.928362072,9,23,104.5,9,15.85560185,1,325,30.98698749,189,FALSE
1,1,1,0,5,5,195,4,0.002418981,1,324,28.98698749,188,FALSE
2,2,2,0.156491063,20,24,204,25,23.53046296,2,323,26.98698749,162.5,FALSE
3,3,3,0.28844437,141,101,78.33333333,5,16.12506944,3,322,24.98698749,151.3333333,FALSE
2,2,2,0.522559375,1,16,52.5,7,2.087106481,2,321,50.52319797,160.5,FALSE
1,1,5,1.675743324,27,25,99.8,11,2.161143519,4,320,48.52319797,184,FALSE
1,1,1,0,3,0,44,4,0.831134259,1,319,46.52319797,130,FALSE
2,2,3,1.236386411,12,7,172,7,0.557627315,3,318,44.52319797,159,FALSE
1,1,2,0.836640742,13,2,38,3,42.78376736,2,317,42.66605511,134,FALSE
1,1,1,0,32,1,127,4,1.405243056,1,316,42.07081702,182,FALSE
2,2,3,1.240670532,9,2,234,10,0.475794753,3,315,40.23748368,155,FALSE
2,2,2,0.859531691,39,14,159,5,0.711024306,2,314,38.23748368,154,FALSE
1,1,2,0.930586129,47,57,331.5,9,2.240555556,2,313,36.40415035,179,FALSE
1,1,2,0.74248757,19,0,183.5,6,0.031140046,2,312,34.76613151,178,FALSE
2,2,2,0.36505519,36,7,56.5,4,198.6508102,2,311,32.76613151,152,FALSE
2,2,3,1.267443804,14,5,54.66666667,4,0.553094136,2,310,30.76613151,151,FALSE
1,1,4,1.921928095,5,5,94.75,3,5.676328125,4,309,28.76613151,175,FALSE
1,1,1,0,8,4,240,3,0.023125,1,308,27.02272219,174,FALSE
2,2,2,0.371232327,12,2,141,5,0.008275463,1,307,25.02272219,149,FALSE
2,2,2,0.614571561,51,28,129.5,5,0.058472222,1,306,23.02272219,148,FALSE
2,2,6,1.983338461,112,35,138.3333333,15,14.48384645,3,305,21.02272219,147,FALSE
4,4,4,1.761706278,13,12,26.75,7,28.61397569,3,304,19.37884754,110.5,FALSE
1,1,1,0,3,0,212,23,12.25141204,1,1,0,0,TRUE
2,2,4,0.826326674,11,37,119.5,11,0.431733218,2,303,38.50626055,145,TRUE
1,1,1,0,28,1,186,3,0.012314815,1,302,36.67292721,168,FALSE
1,1,1,0,3,0,183,3,0.071261574,1,301,34.67292721,167,FALSE
2,2,5,1.989085784,20,27,107.2,11,0.15175,3,300,32.67292721,143,FALSE
2,3,3,1.198183948,4,9,93.66666667,12,12.85763503,3,299,30.67292721,142,FALSE
1,2,3,1.5,4,4,142.3333333,13,6.775729167,2,298,28.67292721,164,FALSE
1,1,2,0,4,0,1.5,1,1.16E-05,1,297,26.67292721,163,FALSE
1,1,3,1.537646399,100,89,247.3333333,13,12.77972222,3,296,24.67292721,162,FALSE
2,2,4,1.83319338,55,21,76.5,5,47.61446759,3,295,22.67292721,139.5,FALSE
1,1,2,0.617310654,83,100,108,3,1.605109954,1,294,20.67292721,160,FALSE
1,1,1,0,32,6,190,3,0.012951389,1,293,21.24912459,159,TRUE
2,2,2,0.329187344,173,9,37.5,5,14.80398148,1,292,19.24912459,137.5,FALSE
1,1,1,0,0,1,213,23,0.009016204,1,291,21.5141903,132,FALSE
1,1,1,0,20,2,195,23,8.708784722,1,290,19.5141903,131,FALSE
3,4,6,2.276931762,25,10,91.66666667,34,42.33225116,4,289,30.01120605,134.3333333,FALSE
1,2,4,1.245935795,51,46,50.5,8,93.9118316,4,288,28.0774457,115,FALSE
1,1,2,0.945660305,8,3,109.5,24,40.34124421,2,287,26.10289025,129,FALSE
1,2,2,0.918295834,5,7,64.5,6,0.000891204,1,286,24.10289025,114,FALSE
2,3,4,1.377890332,21,21,174.25,15,47.3698206,3,285,22.10289025,134.5,FALSE
1,1,1,0,1,2,78,2,0.026539352,1,284,20.10289025,155,TRUE
1,1,1,0,1,1,335,7,0.006365741,1,283,18.10289025,154,TRUE
1,1,2,0.666578358,21,2,275.5,13,0.0109375,1,282,16.10289025,153,FALSE
1,2,4,0.913704575,88,9,150.5,18,64.00276331,4,281,14.10289025,152,TRUE
1,1,1,0,1,1,35,5,1.4490625,1,280,12.10289025,112,FALSE
4,4,5,1.985228136,14,14,28.2,7,101.494794,5,279,10.10289025,101.5,FALSE
1,1,1,0,1,1,183,23,56.59017361,1,278,8.102890249,127,TRUE
1,1,1,0,6,0,177,23,7.432256944,1,1,0,0,TRUE
1,1,1,0,1,1,177,23,13.30456019,1,1,0,0,TRUE
1,1,1,0,2,2,35,1,17.70342593,1,277,36.66830712,126,FALSE
1,1,1,0,2,2,177,23,6.801099537,1,276,34.66830712,125,FALSE
1,1,1,0,2,1,35,3,0.000636574,1,275,32.66830712,124,FALSE
1,1,1,0,7,1,29,3,27.67359954,1,274,30.66830712,123,FALSE
1,2,2,0.543564443,8,0,61,6,0.010515046,2,273,28.66830712,110,TRUE
1,1,1,0,38,38,168,9,0.001516204,1,272,26.66830712,150,FALSE
1,1,2,0.619382195,20,6,235,13,0.011805556,1,271,24.66830712,149,TRUE
1,1,1,0,3,1,100,5,0.000960648,1,270,22.66830712,109,FALSE
1,2,2,0.684038436,11,0,54.5,6,0.043287037,1,269,20.66830712,108,FALSE
1,1,2,0.941828535,89,28,204.5,13,7.852743056,2,268,18.66830712,148,FALSE
1,2,2,0.650022422,10,2,50.5,6,21.6260706,2,267,16.66830712,107,TRUE
1,1,1,0,0,1,149,9,15.57818287,1,266,14.66830712,147,FALSE
1,1,1,0,1,1,177,23,20.89515046,1,1,0,0,TRUE
1,2,2,0.918295834,0,3,101.5,13,0.018107639,2,265,25.76537256,146,FALSE
2,4,4,1.877387064,9,5,52.75,10,0.524288194,2,264,23.76537256,125.5,TRUE
2,5,6,1.664257667,97,13,95.33333333,18,36.19187307,5,263,21.76537256,124.5,TRUE
1,1,1,0,15,0,36,5,0.004085648,1,262,20.27609058,143,FALSE
1,1,1,0,0,12,48,5,0.000787037,1,261,18.27609058,142,FALSE
4,4,5,0.464908187,4,90,60.6,7,0.002858796,1,260,16.27609058,95.5,FALSE
4,5,8,1.67378608,156,20,34.375,8,40.75207176,5,259,14.27609058,94.5,TRUE
1,1,1,0,3,2,27,3,44.09025463,1,258,18.42763928,120,FALSE
1,1,1,0,2,2,16,6,44.07516204,1,257,16.42763928,119,FALSE
1,1,1,0,6,5,176,23,37.24100694,1,256,14.42763928,118,FALSE
1,2,2,0.721928095,9,1,46.5,6,37.2509375,1,255,12.42763928,102,FALSE
2,2,3,1.521928095,5,5,58.33333333,6,90.53892361,2,254,10.42763928,120,FALSE
1,2,2,0.650022422,20,4,38,6,62.09645833,2,1,0,0,FALSE
1,1,1,0,13,0,163,23,6.831180556,1,253,34.80804365,117,FALSE
1,1,1,0,0,22,22,4,41.76195602,1,252,32.80804365,138,FALSE
2,3,4,1.088459599,24,30,87.25,11,3.438423032,3,251,30.80804365,118.5,FALSE
2,3,3,0.654047184,18,15,53.33333333,9,6.799031636,3,250,28.80804365,117.5,TRUE
1,1,1,0,0,9,36,3,6.783541667,1,249,26.80804365,98,TRUE
1,1,1,0,1,1,124,23,37.14631944,1,232,17.15804365,109,FALSE
1,1,1,0,6,0,86,7,37.27167824,1,231,15.15804365,127,TRUE
1,1,1,0,2,2,16,6,37.20383102,1,230,13.15804365,108,TRUE
3,3,3,1.521928095,5,5,20.33333333,7,34.4182446,3,248,21.46883117,75.33333333,FALSE
1,1,2,0.297472249,70,44,82,24,12.57667245,2,247,19.46883117,115,FALSE
2,3,6,1.940724127,87,46,88.66666667,15,20.94621721,5,246,17.46883117,115.5,FALSE
1,1,1,0,30,30,200,7,10.87534722,1,245,15.46883117,134,FALSE
1,1,1,0,1,1,48,5,55.06146991,1,244,13.46883117,133,FALSE
1,1,1,0,4,3,140,23,15.03116898,1,243,11.82121212,114,FALSE
2,2,2,0.509515718,33,20,111,7,24.03390046,1,1,0,0,FALSE
1,1,1,0,0,12,109,4,1.777858796,1,242,18.35438596,132,FALSE
2,4,6,1.956688034,107,12,29.66666667,7,72.72289159,6,241,16.48383838,113,FALSE
1,1,1,0,16,0,124,23,4.801539352,1,240,14.48383838,113,FALSE
1,1,1,0,1,1,124,23,1.16E-05,1,1,0,0,TRUE
1,1,1,0,6,6,137,7,0.043657407,1,239,22.81854145,130,FALSE
1,1,1,0,1,0,22,3,0.161909722,1,238,20.81854145,112,FALSE
1,3,3,0.847966655,59,40,47,10,33.39860725,3,237,18.81854145,94,FALSE
1,1,3,1.413469265,97,31,59.33333333,8,38.99825617,3,236,16.81854145,129,FALSE
1,1,1,0,2,1,21,3,6.358715278,1,235,14.81854145,111,FALSE
2,2,2,0.721928095,49,1,65,10,34.35190972,2,234,12.81854145,110.5,FALSE
1,1,1,0,2,2,16,6,1.16E-05,1,233,10.81854145,110,FALSE
1,1,1,0,2,2,123,23,0.070497685,1,229,9.591269841,107,TRUE
1,1,3,1.570950594,7,3,52.33333333,29,20.00236111,2,228,7.626984127,106,FALSE
1,1,2,0.99107606,9,9,102.5,13,1.919768519,1,3,2,2,FALSE
1,1,2,0.721928095,8,2,99.5,13,60.36912616,2,2,0,1,TRUE
2,3,5,1.678330054,145,53,46.8,12,23.15161343,5,2,0,0,FALSE
1,1,1,0,9,9,123,23,0.030451389,1,1,0,0,TRUE
1,1,1,0,9,0,114,23,13.59173611,1,1,0,0,FALSE
1,1,3,1.530124965,9,6,48.33333333,29,8.451643519,3,227,13.55824176,105,FALSE
3,3,3,1.521928095,3,2,33.33333333,7,0.005138889,1,226,11.63443223,107.3333333,FALSE
4,4,4,1.825572921,14,9,25.25,7,34.35871238,3,225,9.634432234,82.75,FALSE
1,1,1,0,2,2,112,23,23.52976852,1,224,7.805860806,102,TRUE
1,1,2,0.918295834,2,1,13,8,0.007905093,1,223,14.7979798,101,FALSE
1,1,3,1.521928095,3,2,46,29,29.39952546,3,222,12.7979798,100,FALSE
1,1,1,0,4,0,11,3,47.99219907,1,221,19.14285714,99,FALSE
1,1,1,0,33,0,79,23,47.99103009,1,220,17.14285714,98,FALSE
2,2,2,0.994030211,11,0,26,3,0.003240741,1,219,15.14285714,107,FALSE
2,4,8,2.76420185,33,25,38.875,13,13.97045862,4,218,13.14285714,106,FALSE
2,4,7,1.80039038,89,27,42.57142857,17,36.52454365,6,217,11.14285714,105,FALSE
1,1,1,0,1,0,67,7,20.49356481,1,216,9.142857143,121,TRUE
3,3,3,1.5,4,4,30,6,52.29991898,2,215,7.142857143,72.66666667,FALSE
1,1,1,0,1,0,66,7,40.39232639,1,1,0,0,FALSE
1,1,4,1.884313528,7,6,75.5,29,6.321472801,3,214,33,97,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2,3,3,1.295737801,10,3,38.66666667,7,6.152021605,2,213,31,102.5,FALSE
1,1,2,0.99107606,7,2,42,24,10.62389468,2,212,29,96,FALSE
2,4,4,1.760964047,6,4,33.75,7,5.104331597,2,211,27,101.5,FALSE
2,5,8,2.376233453,123,62,28,15,7.008653067,6,1,0,0,FALSE
1,1,1,0,2,6,82,23,3.213645833,1,210,52,95,FALSE
1,1,1,0,0,1,52,4,2.531712963,1,1,0,0,FALSE
1,1,1,0,6,5,81,23,0.060300926,1,209,50,94,FALSE
1,1,1,0,1,0,36,5,0.006134259,1,208,48,84,FALSE
1,1,1,0,2,3,37,5,0.063738426,1,207,46,83,FALSE
2,2,2,0.918295834,2,1,49,6,0.001388889,1,206,44,105,FALSE
2,2,2,0.954434003,5,3,48,6,0.169508102,2,205,42,104,FALSE
1,1,1,0,2,5,84,23,0.229236111,1,204,40,91,FALSE
1,1,1,0,7,0,0,3,1.16E-05,1,203,38,90,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,3,3,1.246705213,19,2,27.66666667,9,0.420219907,3,202,36,82,FALSE
3,4,4,1.950063756,8,5,38.5,8,0.316385995,3,201,34,95,FALSE
1,1,1,0,5,1,80,23,0.00943287,1,200,32,88,FALSE
2,2,2,0.985228136,6,1,56,27,0.383263889,2,199,30,83.5,FALSE
2,4,5,1.377128035,112,13,9.4,6,0.34725463,3,198,28,100,FALSE
1,1,1,0,1,1,77,23,0.353958333,1,1,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,1,1,0,2,0,75,23,0.004421296,1,197,26,85,FALSE
1,1,1,0,5,4,73,23,0.002037037,1,196,24,84,FALSE
1,1,1,0,1,1,73,23,0.000219907,1,195,22,83,FALSE
2,2,2,0.179256067,73,1,27,26,0.030688657,2,194,20,80.5,FALSE
2,4,4,1.722971279,8,11,33.75,12,0.043269676,3,193,18,95.5,FALSE
1,1,2,0.138157229,206,0,0,23,1.16E-05,1,192,16,81,FALSE
2,3,4,1.738149333,12,1,28.25,11,0.020462963,3,191,14,94.5,FALSE
1,1,1,0,7,1,24,5,0.000520833,1,190,12,76,FALSE
2,4,5,1.837933893,67,34,25.8,12,0.040659722,2,189,10,93,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2,2,4,1.080529402,64,3,34.25,13,0.016785301,4,188,8,92,FALSE
1,1,2,0.835116495,64,0,5.5,8,0.003524306,2,187,6,109,FALSE
1,1,1,0,11,0,0,7,1.16E-05,1,186,4,108,FALSE
1,1,1,0,9,0,52,3,0.007731481,1,185,2,107,FALSE
4,13,26,3.773679178,658,0,0,13,1.11E-05,1,184,0,67.25,FALSE
