,project,f1_median
219,emite.csv,0.33
220,thout.csv,0.7
221,autowikibrowser.csv,0.46
222,opengs.csv,0.82
223,bacnet.csv,0.74
224,t-2.csv,0.73
225,ardour.csv,0.59
226,xcsoar.csv,0.53
227,codepurge.csv,0.63
228,jgnash.csv,0.82
229,flylinkdc.csv,0.63
230,adaptagrams.csv,0.17
231,projecteqemu.csv,0.55
232,igarden.csv,0.48
233,nebuladevice.csv,0.68
234,officefloor.csv,0.96
235,plplot.csv,0.64
236,paintown.csv,0.68
237,ondex.csv,0.78
238,lphant.csv,0.71
239,miranda.csv,0.72
240,gephex.csv,0.55
241,openwbem.csv,0.57
242,micomt.csv,0.64
243,zscreen.csv,0.78
244,uclmda.csv,1.0
245,jcae.csv,0.71
246,codeblocks.csv,0.64
247,upp-mirror.csv,0.66
248,arsenal-1.csv,0.57
249,unbvision.csv,0.75
250,openfrag.csv,0.8
251,zildo.csv,0.52
252,olex2.csv,0.42
253,enzo.csv,0.71
254,kvs.csv,0.76
255,adobe-source.csv,0.67
256,openmalaria.csv,0.74
257,autofac.csv,0.44
258,stajistics.csv,0.53
259,konversation.csv,0.86
260,uface.csv,0.91
261,n2cms.csv,0.75
262,pdfedit.csv,0.56
263,nutz.csv,0.68
264,planeshift.csv,0.49
265,google-caja.csv,0.63
266,phet.csv,0.38
267,maya-work-in-progress.csv,0.8
268,bibletime.csv,0.78
269,firebreath.csv,0.64
270,qpe.csv,0.8
271,smartgwt.csv,0.87
272,blue-c.csv,0.87
273,jbpm.csv,0.74
274,ontopia.csv,0.86
275,turbotrader-bos.csv,0.66
276,xapian.csv,0.69
277,keyczar.csv,0.68
278,vrjuggler.csv,0.71
279,aime.csv,0.61
280,ipfilter.csv,0.9
281,smarttag.csv,0.59
282,sauerbraten.csv,0.68
283,super-tux.csv,0.89
284,jgossipforum.csv,0.92
285,aufs.csv,0.59
286,flexpay.csv,0.11
287,sandiaportals.csv,0.87
288,nicepress.csv,0.77
289,archive-crawler.csv,0.56
290,mob-sen-plat.csv,0.63
291,selenium.csv,0.67
292,sbml.csv,0.71
293,gisgraphy.csv,0.64
294,jaxen.csv,0.88
295,mediaportal.csv,0.45
296,pokeglobal.csv,0.64
297,agilitybook.csv,0.78
298,ipfire-wall.csv,0.67
299,open-data-kit.csv,0.38
300,betoffice.csv,0.38
301,madman.csv,0.76
302,panda3d.csv,0.61
303,openintents.csv,0.55
304,emisview.csv,0.76
305,htmlunit.csv,0.67
306,firebird.csv,0.49
307,sarasvati.csv,0.72
308,ildjit.csv,0.77
309,clamav.csv,0.67
310,nodal.csv,0.66
311,cme.csv,0.82
312,dsworkbench.csv,0.88
313,qgo.csv,0.8
314,qgis.csv,0.48
315,neodatis-odb.csv,0.65
316,biopax.csv,0.84
317,fceugc.csv,0.48
318,zxing.csv,0.61
319,kml.csv,0.76
320,grafx2.csv,0.82
321,dataobjectsdotnet.csv,0.58
322,jajuk.csv,0.72
323,jruby.csv,0.68
324,vienna-add-in.csv,0.66
325,ifmo-game-1.csv,0.77
326,skia.csv,0.74
327,rezilla.csv,0.6
328,jedit.csv,0.71
329,auber.csv,0.75
330,raven-monitoring.csv,0.59
331,sblim.csv,0.86
332,ktc.csv,0.79
333,retromenu.csv,0.57
334,xbg.csv,0.82
335,novembre.csv,0.59
336,personalaccess.csv,0.49
337,mesa3d.csv,0.67
338,columba.csv,0.58
339,piccolo2d.csv,0.78
340,fityk.csv,0.77
341,scenemonitor.csv,0.43
342,fontforge.csv,0.71
343,zabbix.csv,0.81
344,prelude.csv,0.62
345,emeraldemu.csv,0.66
346,dspace-gsoc.csv,0.51
347,chrysalis.csv,0.76
348,olsrd.csv,0.76
349,bionote.csv,0.78
350,sadl.csv,0.92
351,gmerlin.csv,0.69
352,applet2app.csv,0.64
353,zoolib.csv,0.82
354,xmoto.csv,0.77
355,wgs-assembler.csv,0.54
356,open-beos.csv,0.55
357,thedata.csv,1.0
358,jvcl.csv,0.84
359,zemljanka.csv,0.9
360,gzigzag.csv,0.7
361,psycle.csv,0.51
362,pidgin.csv,0.21
363,empyrean.csv,0.44
364,zealos.csv,0.53
365,xcmetadataservicestoolkit.csv,0.76
366,unimrcp.csv,0.73
367,xfce.csv,0.74
368,pamguard.csv,0.53
369,bdbbasic.csv,0.69
370,playerstage.csv,0.6
371,coot.csv,0.63
372,exl.csv,0.76
373,lsb.csv,0.88
374,jsecurity.csv,0.79
375,ta3d.csv,0.57
376,xbrlapi.csv,0.56
377,phonon-vlc-mplayer.csv,0.83
378,mbse.csv,0.67
379,redshell.csv,0.9
380,qedo.csv,0.86
381,libtorrent.csv,0.74
382,graphmak.csv,0.53
383,ldview.csv,0.51
384,raygina.csv,0.58
385,autat.csv,0.64
386,yale.csv,0.78
387,onotoa.csv,0.49
388,power-architect.csv,0.76
389,rebecca-aiml.csv,0.73
390,miranda-icq.csv,0.3
391,tcl.csv,0.64
392,rtb-team.csv,0.38
393,qse.csv,0.72
394,httpcontentparser.csv,0.82
395,mycila.csv,0.6
396,bochs.csv,0.63
397,bnetd.csv,0.78
398,badtrinity-zero.csv,0.66
399,boost.csv,0.51
400,decidr.csv,0.55
401,barracudamvc.csv,0.74
402,kaffeine.csv,0.79
403,open-media-library.csv,0.49
404,amateur-scrolls.csv,0.78
405,servicestack.csv,0.53
406,dynalloy.csv,0.71
407,jmol.csv,0.51
408,mpgravity.csv,0.79
409,rohxel.csv,0.6
410,slimdx.csv,0.82
411,magicwars.csv,0.85
412,tktoolkit.csv,0.75
413,e-bio-flow.csv,0.55
414,stuproa-cims.csv,0.64
415,doomlegacy.csv,0.65
416,freenet.csv,0.69
417,sidekar.csv,0.79
418,wishmaster.csv,0.53
419,pgui.csv,0.69
420,aztec.csv,0.86
421,oorexx.csv,0.48
422,maidsafe-dht.csv,0.34
423,cubefs.csv,0.68
424,rodin-b-sharp.csv,0.6
425,chaosrts.csv,0.7
426,xmemcached.csv,0.61
427,synergyspace.csv,0.61
428,psrchive.csv,0.49
429,lockss.csv,0.8
430,algebsql.csv,0.75
431,jbasic.csv,0.68
432,all-plasm.csv,0.7
433,patterntesting.csv,0.58
434,linuxsh.csv,0.62
435,ppcboot.csv,0.6
436,jasperreports.csv,0.86
437,icescrum.csv,0.84
438,kolmafia.csv,0.69
439,rhex.csv,0.71
440,reactos-mirror.csv,0.67
441,qwired-suite.csv,0.68
442,quarkplayer.csv,0.94
443,kreatecd.csv,0.77
444,l2j.csv,0.56
445,bscwweasel.csv,0.68
446,quickfast.csv,0.64
447,mscore.csv,0.62
448,open-ms.csv,0.65
449,olap-navigator.csv,0.82
450,findbugs.csv,0.35
451,irplus.csv,0.57
452,jmule.csv,0.86
453,arcallians.csv,0.72
454,xcf.csv,0.56
455,heekscad.csv,0.62
456,cities3d.csv,0.86
457,megasquirtavr.csv,0.64
458,ivataopenportal.csv,0.64
459,continuum-ide.csv,0.48
460,libopenmetaverse.csv,0.49
461,rockbox.csv,0.81
462,intact.csv,0.48
463,salasaga.csv,0.77
464,triplea.csv,0.67
465,trinitycore.csv,0.67
466,bl-toolkit.csv,0.6
467,ninject.csv,0.75
468,roller.csv,0.75
469,encog-java.csv,0.78
470,elvishrayrenderer.csv,0.53
471,ingex.csv,0.56
472,umber.csv,0.9
473,matrex.csv,0.76
474,jgameai.csv,0.61
475,factor.csv,0.87
476,owlapi.csv,0.74
477,octet.csv,0.48
478,lksctp.csv,0.78
479,alembik.csv,0.55
480,hazelcast.csv,0.9
481,migen.csv,0.7
482,pclasses.csv,0.69
483,avifile.csv,0.93
484,tweetsharp.csv,0.71
485,opendvr.csv,0.78
486,moast.csv,0.97
487,jaolt.csv,0.63
488,pcgen.csv,0.49
489,rosegarden.csv,0.73
490,netatalk.csv,0.59
491,beast-mcmc.csv,0.66
492,customsagetv.csv,0.85
493,baadengine.csv,0.78
494,gnome-jabber.csv,0.51
495,yarp0.csv,0.73
496,wxcrp.csv,0.61
497,sigil.csv,0.72
498,emulemorph.csv,0.9
499,lmms.csv,0.53
500,primefaces.csv,0.67
501,jnode.csv,0.91
502,qdvdauthor.csv,0.75
503,ftm.csv,0.59
504,mb-unit.csv,0.33
505,logicmail.csv,0.84
506,illumination.csv,0.72
507,sevenupdate.csv,0.79
508,opennms.csv,0.69
509,gamestone.csv,0.87
510,jam-daq.csv,0.54
511,badtrinitycore.csv,0.85
512,kftpgrabber.csv,0.76
513,qtwin.csv,0.98
514,snakeyaml.csv,0.81
515,mevenide.csv,0.7
516,robocode.csv,0.42
517,red5.csv,0.65
518,springside.csv,0.57
519,ltp.csv,0.72
520,gretl.csv,0.67
521,ambulant.csv,0.58
522,yaprm.csv,0.54
523,bulmages.csv,0.49
524,oscarmcmaster.csv,0.68
525,superwaba.csv,0.81
526,proftp.csv,0.51
527,kmatplot.csv,0.7
528,nuttx.csv,0.72
529,checker-framework.csv,0.82
530,plato.csv,0.79
531,alpine.csv,0.69
532,ns-3-dev-def-routing.csv,0.55
533,inkscape.csv,0.42
534,thrust.csv,0.6
535,fulguro.csv,0.78
536,gusanos.csv,0.71
537,blogentis.csv,0.72
538,tigermud.csv,0.4
539,moving-pictures.csv,0.67
540,critterding.csv,0.68
541,wxcode.csv,1.0
542,unicase.csv,0.68
543,v8.csv,0.79
544,tango-cs.csv,0.42
545,geochat.csv,0.66
546,roolo.csv,0.75
547,quantlib.csv,0.63
548,bullet.csv,0.58
549,kowari.csv,0.75
550,free-evolution.csv,0.64
551,multitude.csv,0.56
552,stemkit.csv,0.87
553,xamj.csv,0.62
554,jlinalg.csv,0.87
555,cortex-vfx.csv,0.74
556,tokratan.csv,0.79
557,anaxagora.csv,0.76
558,ibatisdb.csv,0.65
559,cascading.csv,0.8
560,gbif-indexingtoolkit.csv,0.48
561,boost-sandbox.csv,0.4
562,owlib.csv,0.46
563,forester-atv.csv,0.75
564,zorannt.csv,0.61
565,ogrehg.csv,0.62
566,voms.csv,0.8
567,genoviz.csv,0.79
568,kwave.csv,0.66
569,gogoego.csv,0.4
570,re2c.csv,0.79
571,grisbi.csv,0.82
572,wheat.csv,0.67
573,omseek.csv,0.73
574,nabu-library.csv,0.84
575,orc.csv,0.8
576,tencompetence.csv,0.62
577,mpqc.csv,0.46
578,acdk.csv,0.76
579,alleg.csv,0.69
580,wxjs.csv,0.88
581,sqlpower-library.csv,0.71
582,tcvp.csv,0.87
583,xuggle.csv,0.79
584,fluidium.csv,0.42
585,jrefactory.csv,0.41
586,passwordsafe.csv,0.62
587,guineu.csv,0.42
588,zengine.csv,0.84
589,lite.csv,0.45
590,itext.csv,0.73
591,nug.csv,0.67
592,carabiner.csv,0.77
593,hydrogen.csv,0.8
594,ogre.csv,0.97
595,opde.csv,0.48
596,botsnscouts.csv,0.67
597,pnotepad.csv,0.87
598,sepgsql.csv,0.71
599,jsr308-langtools.csv,1.0
600,pokenetonline.csv,0.65
601,qlc.csv,0.72
602,mumble.csv,0.74
603,javagroups.csv,0.59
604,yield.csv,0.77
605,openefm.csv,0.61
606,jfreereport.csv,0.3
607,pixel-commandos.csv,0.89
608,jas.csv,0.81
609,jcl.csv,0.78
610,nunit.csv,0.68
611,bacula.csv,0.64
612,jatlas.csv,0.84
613,nativeclient.csv,0.58
614,hydrate.csv,0.46
615,ivatamasks.csv,0.62
616,projectfactory.csv,0.5
617,tzod.csv,0.4
618,qtractor.csv,0.67
619,enlightenment.csv,0.65
620,xined.csv,0.71
621,dvt.csv,0.73
622,atomsite.csv,0.71
623,atunes.csv,0.62
624,chipster.csv,0.5
625,pi-qmc.csv,0.89
626,jhotdraw.csv,0.2
627,st-filteredstatistics.csv,0.59
628,apolloplayer.csv,0.67
629,minig.csv,0.77
630,knowledge.csv,0.93
631,loki-lib.csv,0.72
632,jslibs.csv,0.71
633,fw4spl.csv,0.79
