,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,kmatplot.csv,pclasses.csv,agilitybook.csv,triplea.csv,raygina.csv,wpdev.csv,owfs.csv,olap-navigator.csv,pokeglobal.csv,nova.csv,sauerbraten.csv,graphmak.csv,jgameai.csv,gpsmid.csv,empyrean.csv,awemud.csv,crisscross.csv,re2c.csv,tzod.csv,octave.csv,adaptagrams.csv,open-media-library.csv,vdsf.csv,alit.csv,orc.csv,lazarus-ccr.csv,n2cms.csv,forester-atv.csv,mob-sen-plat.csv,nh3d.csv,amanda.csv,rectracker.csv,dynalloy.csv,mpqc.csv,thout.csv,benojt.csv,sabbu.csv,unladen-swallow.csv,powerfolder-.csv,barracudamvc.csv,guineu.csv,>=0.7,>=0.6
dynalloy.csv,0.02,0,0.22,0,0,0,0,0.11,0,0,0.31,0.51,0.39,0,0.88,0.11,0.39,0.22,0,0.47,0.48,0,0,0,0,0.67,0.88,0,0,0,0.11,0.68,0,0,0.99,0.02,0,0,0.32,0.25,0.28,0,0.11,0.54,0,0.3,0.8,0.33,0.37,0,0.53,0.45,0.51,0.78,0.83,0.3,0,0.18,0,0.68,0.24,0,0.82,0.18,0,0.56,0,0.78,0,0,0.25,,0,0.38,0.92,0.34,0,0.43,0.91,0.49,10,13
elmo.csv,0,0,0,0,0,0,0,0,0,0,0.13,0.09,0.05,0,0.05,,0,0.02,0,0.2,0,0,0,0,0,0.13,0.16,0,0,0,0.12,0,0,0,0.03,0,0,0.06,0,0,0,0,0.06,0.16,0,0,0.15,0,0.37,0,0.12,0.39,0,0.14,0.02,0,0,0,0,0,0,0,0.22,0,0,0,0,0.11,0,0,0,0,0,0.11,0.18,0,0,0,0.02,0.07,0,0
empyrean.csv,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0.11,0,0,0.54,0,0,0.43,0,0.37,0,0,0.32,0,,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,1,2
encog-java.csv,0.03,0,0.29,0,0,0,0,,0,0,0.41,0.32,0.03,0,0.8,0.13,0.44,0,0,0.25,0.46,0,0,0,0,0.54,0.7,0,0,0,0.24,0.7,0,0,0.5,0.06,0,0,0.08,0.27,0.29,0,0,0.54,0,0.25,0.7,0.05,0.38,0,0.49,0.23,0.35,0.69,0.57,0.36,0,0.07,0,0.58,0,0,0.42,0.32,0,0.17,0,0.7,0,0,0.47,0.25,0,0.5,0.81,0.21,0,0.44,0.64,0.49,6,8
flylinkdc.csv,0.02,0.07,0.3,0.55,0,0.6,0.57,0.22,0.46,0.67,0.29,0.72,0.7,0.34,0.88,0.18,0.5,0.91,0.58,0.58,0.66,0,,0,0.23,0.67,0.78,0.57,0.1,0.07,0.2,0.77,0.49,0.47,0.99,0.02,0.45,0.72,0.57,0.38,0.32,0.29,0.71,0.54,0.79,0.31,0.82,0.76,0.44,0.8,0.53,0.45,0.75,0.78,0.81,0.32,0,0.6,0.4,0.68,0.64,0.16,0.49,0.19,0.49,0.58,0.58,0.83,0,0.63,0.81,0.54,0,0.38,0.98,0.72,0,0.46,0.91,0.47,21,29
forester-atv.csv,0.03,0,0.31,0.11,0,0,0.53,0.29,0.04,0.64,0.45,0.54,0.46,0,0.72,0.24,0.48,0.16,0.01,0.48,0.67,0,0,0,0,0.53,0.67,0.03,0,0,0.21,0.68,0,0.28,0.66,0.04,0.05,0.56,0.54,0.43,0.25,0,0.38,0.53,0.49,0.36,0.81,0.72,0.45,0.55,0.52,0.3,0.72,0.73,0.63,0.54,0,0.59,0.26,0.72,0.5,0.02,0.44,0.19,0,0.53,,0.48,0,0.29,0.58,0.45,0,0.41,0.83,0.7,0,0.47,0.79,0.4,9,15
google-collections.csv,0.02,0.05,0.23,0.57,0,0.54,0.59,0.2,0.44,0.32,0.31,0.69,0.65,0.31,0.88,0.13,0.49,,0.86,0.57,0.48,0,0.27,0,0.15,0.68,0.88,0.54,0.07,0.13,0.18,0.77,0.35,0.44,0.99,0.02,0.39,0.57,0.56,0.31,0.28,0.22,0.72,0.54,0.97,0.3,0.8,0.7,0.37,0.76,0.52,0.45,0.74,0.78,0.84,0.3,0,0.53,0.31,0.68,0.63,0.16,,0.19,0.48,0.56,0.54,0.77,0.09,0.51,0.8,0.54,0,0.38,0.98,0.68,0,0.46,0.9,0.47,17,23
gpsmid.csv,0.02,0.13,0.22,0.13,0,0,0,0.25,0.08,0,0.31,0.6,0.4,0,0.88,0.13,0.61,0.6,0,0.49,0.08,0,0,0,0,0.63,0.88,0,0,0,0.18,0.81,0,0.03,0.98,0.03,0,0.28,0.55,0.28,0.29,0,0.47,0.54,0.11,0.3,0.82,0.52,0.37,0.46,0.56,0.46,,0.78,0.84,0.3,0,0.53,0.08,0.69,0.55,0,0,0.18,0,0.46,0.49,0.77,0,0,0.53,0.42,0,0.48,0.98,0.65,0,0.49,0.85,0.47,10,16
graphmak.csv,0.03,0,0.23,0,0,0,0,0.15,0,0.02,0.29,0.13,0.34,0,0.67,0.43,0.1,0.16,0,0.32,0.06,0,0,0,0,0.43,0.86,0,0,0,0.15,0.21,0,0,0.78,0.03,0,0.18,0.19,0.29,0.29,0,0.12,0.53,0.04,0.31,0.78,0.32,0.37,0.17,,0.42,0.57,0.75,0.72,0.23,0,0.36,0.23,0.49,0.24,0,0.33,0.09,0,0.25,0,0.75,0,0,0,0.36,0,0.35,0.69,0.07,0,0.12,0.63,0.43,6,9
gtad.csv,0.03,,0.28,0,0,0,0,0.04,0,0,0.27,0.49,0,0,0.84,0.16,0.65,0.02,0,0.48,0,0,0,0,0,0.67,0.88,0,0,0,0.23,0.83,0,0,0.81,0.03,0,0,0.08,0.38,0.29,0,0,0.54,0,0.3,0.7,0.05,0.37,0,0.59,0.41,0.52,0.78,0.71,0.32,0,0.07,0,0.77,0,0,0.29,0.23,0,0.38,0,0.77,0,0,0.1,0.23,0,0.48,0.84,0.31,0,0.51,0.86,0.51,11,13
guineu.csv,0,0.06,0.34,0.57,0.57,0.62,0.62,0.21,0.41,0.47,0.25,0.64,0.64,0.22,0.04,0.18,0.38,0.97,0.86,0.58,0.54,0.9,0.43,0.58,0.14,0.32,0,0.55,0.07,0.13,0.28,0.43,0.53,0.45,0,0,0.53,0.63,0.56,0.36,0,0.24,0.75,0,0.99,0.31,0.03,0.74,0,0.76,0.52,0.12,0.73,0,0.37,0,0.19,0.53,0.3,0.62,0.63,0.16,0,0.36,0.63,0.56,0.57,0.41,0.02,0.63,0.81,0.53,0.27,0.21,0.28,0.68,0.21,0.46,0,,9,19
h2database.csv,0.02,0.05,0.23,0.57,0,0.29,0.65,0.21,0.42,0.55,0.31,0.69,0.65,,0.88,0.13,0.49,0.99,0.87,0.57,0.66,0,0,0,0.24,0.68,0.88,0.55,0.08,0.13,0.18,0.77,0.3,0.45,0.99,0.02,0.08,0.65,0.56,0.31,0.28,0.3,0.73,0.54,0.99,0.3,0.82,0.74,0.37,0.76,0.52,0.45,0.73,0.78,0.84,0.3,0,0.53,0.3,0.68,0.63,0.16,,0.19,0.08,0.56,0.53,0.77,0,0.56,0.81,0.53,0,0.37,0.98,0.68,0,0.46,0.91,0.47,18,27
jahshaka.csv,1,0,0,0,0,0,0,0,0,0,,0,0,0,0.71,0,0.31,0,0,0,0,0,0,0,0,0.16,0.78,0,0,0,0,0.21,0,0,0.46,0,0,0,0,0,0.08,0,0,0.39,0,0,0.44,0,0.26,0,0.07,0.11,0,0.63,0,0.33,0,0,0,0,0,0,0.16,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.42,3,4
jahshakafx.csv,0.02,0.05,0.23,0.55,0,0.41,0.53,0.22,0.48,,0.31,0.67,0.66,0,0.88,0.13,0.49,0.92,0.65,0.57,0.66,0,0,0,0.25,0.68,0.88,0.58,0.12,0.03,0.18,0.77,0.46,0.45,0.99,0.02,0.15,0.69,0.57,0.31,0.28,0.3,0.74,0.54,0.94,0.3,0.82,0.77,0.37,0.77,0.52,0.45,0.73,0.78,0.84,0.3,0,0.53,0.3,0.68,0.66,0.22,,0.19,0.34,0.57,0.58,0.77,0,0.62,0.81,0.54,0,0.37,0.98,0.68,0,0.45,0.91,0.47,17,27
jaql.csv,0.02,0.06,0.22,0,0,0,0,0.26,0.08,0,0.31,0.61,0.32,0,0.88,0.13,0.5,0.87,0,0.62,0.66,0,0,0,0,0.68,0.88,0,0,0,0.18,0.77,0,0,0.99,0.02,0,0.29,,0.32,0.28,0,0.71,0.54,0,0.3,0.82,0.66,0.37,0,0.53,0.44,0.77,0.78,0.84,0.3,0,0.53,0,0.71,0.55,0,,0.19,0,0.53,0.07,0.77,0,0,0.76,0.46,0,0.38,0.98,0.68,0,0.44,0.91,0.47,15,21
jedit.csv,0.02,0.05,0.23,0.57,0,,0.62,0.21,0.45,0.61,0.31,0.68,0.65,0.29,0.88,0.13,0.49,0.99,0.86,0.57,0.66,0,0.5,0,0.15,0.68,0.88,0.55,0.07,0.11,0.18,0.77,0.55,0.43,0.99,0.02,0.53,0.63,0.56,0.31,0.28,0.24,0.75,0.54,0.99,0.3,0.78,0.76,0.37,0.76,0.52,0.45,0.72,0.78,0.84,0.3,0,0.53,0.3,0.68,0.63,0.16,0.94,0.19,0.63,0.56,0.58,0.77,0,0.58,0.81,0.54,0.16,0.37,0.98,0.68,0,0.46,0.91,0.47,19,30
jgameai.csv,0,0.5,0,0,0,0,0,0,0,0,0.25,0.12,0,0,0.37,0,0.1,0,0,0.06,0,0,0,0,0,0.33,0,0,0,0,0,0.11,0,0,0.18,0,0,0,0.02,0,0,0,0,0.51,0,0,0.03,0,0.49,0,0.39,,0,0.29,0.22,0.21,0,0,0,0.45,0.14,0,0,0,0,0.04,0,0,0,0,0,0.04,0,0.04,0.08,0,0,0,0.02,0.19,0,0
jmoney.csv,0.02,0,0.29,0,0,0,0,0,0,0,0.39,0.33,0,0,0.85,0.13,,0,0,0.19,0,0,0,0,0,0.58,0.78,0,0,0,0.12,0.83,0,0,0.93,0.04,0,0,0,0,0.33,0,0,0.51,0,0.36,0.7,0,0.39,0,0.51,0.47,0,0.73,0.67,0.32,0,0,0,0.68,0,0,0.31,0.22,0,0.11,0,0.51,0,0,0,0,0,0.47,0.87,0.29,0,0.15,0.79,0.55,8,10
kmatplot.csv,0,0.06,0.24,0.5,0,0.12,0.2,0.2,0.6,0.07,0.23,0.4,0.32,0.06,0.68,0.08,0.4,0.43,0.07,0.63,0.02,0,0,0,0.11,0.45,0.86,0.47,0.09,0.08,0.19,0.72,0.11,0.44,0.48,0.04,0.06,0.24,0.4,,0.33,0.11,0.41,0.5,0.35,0.31,0.41,0.52,0.38,0.54,0.53,0.48,0.56,0.68,0.39,0.17,0,0.6,0.25,0.7,0.55,0.34,0.49,0.22,0,0.31,0.34,0.69,0.06,0.04,0.46,0.33,0,0.4,0.48,0.56,0,0.48,0.6,0.42,3,10
ktc.csv,0.02,0.05,0.23,0.57,,0.62,0.63,0.21,0.41,0.49,0.31,0.69,0.65,0.23,0.88,0.13,0.49,0.99,0.86,0.57,0.66,0.72,0.45,0,0.16,0.68,0.88,0.55,0.07,0.13,0.18,0.77,0.53,0.44,0.99,0.02,0.56,0.64,0.56,0.31,0.28,0.23,0.75,0.54,0.99,0.3,0.82,0.74,0.37,0.76,0.52,0.45,0.72,0.78,0.84,0.3,0.15,0.53,0.3,0.68,0.63,0.16,,0.19,0.63,0.56,0.57,0.77,0.01,0.64,0.81,0.53,0.2,0.37,0.98,0.68,0,0.46,0.91,0.47,19,31
lamp.csv,0.03,0.04,0.22,0.16,0,0.09,0,0.3,0.65,0,0.53,0.48,0.28,0,0.66,0.19,0.61,0.57,0.31,0.43,0.47,0,0,0,0,0.59,0.53,0.1,0.21,0,,0.83,0,0.03,0.8,0.06,0,0.62,0.43,0.26,0.33,0,0.63,0.52,0.06,0.34,0.73,0.59,0,0.05,0.4,0.16,0.51,0.66,0.33,0.33,0,0.57,0,0.73,0.53,0,0.77,0.39,0,0.46,0.57,0.47,0,0,0.69,0.12,0,0.42,0.77,0.51,0,0.51,0.63,0.58,6,14
lazarus-ccr.csv,0.02,0.05,0.24,0.57,0,0.39,0.61,0.21,0.41,0.14,0.31,0.69,0.65,0.1,0.88,0.13,0.49,0.98,0.86,0.57,0.66,0,0.18,0,0.11,0.68,0.88,0.4,0.07,0.13,0.18,0.77,0.45,0.45,0.99,0.02,0.46,0.63,0.56,0.31,0.28,0.21,0.76,0.54,0.98,0.3,0.82,0.74,0.37,0.76,0.52,0.45,0.72,0.78,0.83,0.3,0,0.53,0.25,0.67,0.63,0.16,0.99,0.19,,0.56,0.55,0.77,0,0.03,0.81,0.53,0,0.37,0.98,0.68,0,0.46,0.91,0.47,19,28
logicmail.csv,0.05,0,0,0,0,0,0,0,0,0,0.32,0.06,0,0,0.82,0.14,0.61,0,0,0.06,0,0,0,0,0,0.64,0.88,0,0,0,0,,0,0,0.81,0.06,0,0,0,0,0.28,0,0,0.54,0,0.35,0.68,0,0.37,0,0.34,0.44,0,0.78,0.3,0.3,0,0,0,0.44,0,0,0.92,0.4,0,0,0,0.15,0,0,0,0,0,0.31,0.39,0,0,0,0.72,0.35,6,9
mob-sen-plat.csv,0,0.07,0.25,0.57,0.57,0.62,0.62,0.2,0.41,0.47,0.35,0.61,0.63,0.22,0.52,0.1,0.49,0.85,0.86,0.48,0.65,0.9,0.43,0.58,0.14,0.44,0,0.55,0.07,0.14,0.16,0.58,0.53,0.45,0.87,0,0.53,0.55,0.54,0.32,0.24,0.24,0.78,0.36,0.99,0.29,0.67,0.75,0,0.76,0.36,0.3,0.68,0.65,0.64,0.24,0.19,0.45,0.29,0.64,0.65,0.16,0.4,0.21,0.63,0.5,0.57,,0.02,0.63,0.79,0.54,0.27,0.29,0.81,0.73,0.21,0.44,0.79,0.39,12,25
mpqc.csv,0,0,0.05,0,0,0,0,0,0,0,0.18,0.16,0.18,0,0.13,0.05,0,0.18,0,0.05,0,0,0,0,0,0.2,0.52,0.05,0,0,0.05,0,0,0,0.36,0,0,0,0,0.06,0.19,0,0,0.18,0.06,0.19,0.49,0.05,0.21,0,0.07,0.35,0.04,0.48,0.29,0.19,0,0,0,0.19,0,0,0.75,0,0,0.04,0,0,0,0,0,0.07,,0.06,0.06,0.18,0,0,0.07,0,1,1
n2cms.csv,0.03,0.67,0.22,0,0,0,0,0.12,0,0,0.33,0.38,0.53,0,0.7,0.15,0.76,0.33,0,0.27,0.3,0,0,0,0,0.44,0.65,0.07,0,0,0.28,0.74,0,0,0.97,0,0,0,0.36,0.53,0.22,0,0.33,0.56,0.36,0.24,0.76,0.6,0.37,0,0.52,0.35,0.36,0.79,0.72,0.39,0,0.41,0.19,0.69,0.32,0,0.05,0.22,0,,0.07,0.35,0,0,0.59,0.26,0,0.36,0.65,0.36,0,0.47,0.89,0.34,8,13
neoengine.csv,0.02,0.05,0.23,0.44,0,0,0,0.23,0.56,0,0.31,0.69,0.66,0,0.88,0.13,0.49,0.93,0.01,0.57,0.66,0,0,0,0,0.68,0.88,,0.17,0,0.18,0.77,0,0.31,0.99,0.02,0,0.72,0.57,0.31,0.28,0,0.73,0.54,0.7,0.3,0.82,0.77,0.37,0.79,0.52,0.45,0.72,0.78,0.84,0.3,0,0.53,0.27,0.68,0.64,0.19,,0.19,0,0.57,0.55,0.77,0,0,0.81,0.53,0,0.37,0.98,0.68,0,0.46,0.91,0.47,18,25
net-snmp.csv,0,0.06,0.25,0.45,0,0.34,,0.21,0.44,0.29,0.31,0.6,0.63,0.04,0.87,0.13,0.49,0.83,0.59,0.61,0.66,0,0.15,0,0.22,0.67,0.88,0.44,0.09,0.15,0.18,0.75,0.28,0.42,0.99,0.02,0.23,0.64,0.56,0.32,0.29,0.25,0.69,0.54,0.81,0.26,0.82,0.73,0.37,0.69,0.54,0.46,0.75,0.78,0.84,0.3,0,0.5,0.28,0.68,0.58,0.15,,0.19,0.07,0.55,0.53,0.74,0,0,0.82,0.54,0,0.37,0.97,0.68,0,0.48,0.91,0.46,15,25
nh3d.csv,0.02,0.05,0.23,0.57,0,0.44,0.55,0.21,0.41,0.38,0.31,0.69,0.64,0.31,0.88,0.13,0.49,0.98,0.82,0.57,0.66,0,0.29,0,0.18,0.68,0.88,0.54,0.07,0.16,0.18,0.77,0.39,0.44,0.99,0.02,0.34,0.58,0.56,0.3,0.28,0.2,0.74,0.54,0.97,0.3,0.82,0.74,0.37,0.75,0.52,0.45,0.72,0.78,0.84,0.3,0,0.53,0.22,0.68,0.62,0.16,0.82,0.19,0.44,0.56,0.5,0.77,,0.56,0.81,0.54,0,0.37,0.98,0.67,0,0.46,0.91,0.47,19,26
nova.csv,0,0,0.08,0,0,0,0,0,0,0,0.1,0.03,0.03,0,0.54,0,0.41,0.1,0,0.05,0,0,0,0,0,0.17,0.38,0,0,0,0.12,0.2,0,0,0.39,0,0,0,0,0.17,0.2,0,0,0.35,0,0.14,0.34,0,,0,0.2,0,0,0.43,0.28,0.24,0,0,0,0.32,0,0,0.05,0.05,0,0.04,0,0.06,0,0,0,0,0,0.08,0.08,0,0,0,0.31,0.07,0,0
octave.csv,0.02,0.09,0.26,0.1,0,0,0,0.26,0.1,0,0.31,0.66,0.66,0,0.88,0.13,0.5,0.78,0,0.58,0.68,0,0,0,0,0.67,0.88,0.27,0.07,0,0.21,0.77,0,0.03,0.99,0.02,0,0.62,0.57,0.39,0.28,0,0.67,0.54,0.27,0.29,0.81,0.68,0.37,0.69,0.53,0.46,0.78,0.78,0.82,0.3,0,0.62,,0.68,0.49,0,0.93,0.19,0,0.58,0.29,0.77,0,0,0.76,0.5,0,0.37,0.97,0.71,0,0.44,0.91,0.46,15,25
olap-navigator.csv,0.03,0.17,0.32,0,0,0,0,0.32,0,0,0.48,0.39,0.23,0,0.77,0.11,0.57,0.56,0,0.3,0.36,0,0,0,0,0.63,0.87,0,0.08,0,0.13,0.76,0,0,0.98,0.05,0,0.54,0.39,0.18,0.17,0,0.39,0.56,0,0.22,,0.36,0.36,0,0.52,0.45,0.57,0.71,0.74,0.3,0,0.12,0,0.7,0.21,0,0.92,0.34,0,0.48,0.07,0.33,0,0,0.61,0.03,0,0.46,0.82,0.49,0,0.58,0.8,0.44,10,12
open-media-library.csv,0.03,0.06,0.3,0.48,0.57,0.62,0.33,0.21,0.12,0.55,0.37,0.5,0.59,0.23,0.63,0,0.45,0.05,0.83,0.53,0.65,0.9,0.39,0.58,0.16,0.48,0,0.54,0.07,0.09,0.18,0.5,0.51,0.51,0.76,0,0.53,0.61,0.51,0.38,0.4,0.24,0.44,0.4,0.74,0,0.27,0.68,0,0.68,0.57,0.28,0.68,0.4,0.59,0.35,0.19,0.59,0.28,0.54,,0.16,0.33,0.22,0.63,0.48,0.59,0.7,0.02,0.63,0.71,0.55,0.27,0.23,0.77,0.73,0.21,0.47,0.75,0.46,9,18
openwbem.csv,0.02,0.05,0.23,0.55,0,0.73,0.54,0.21,0.43,0.61,0.31,0.68,0.67,0.27,0.88,0.13,0.49,0.98,0.72,0.57,0.66,0,0.5,0,0.2,0.68,0.88,0.55,0.07,0.03,0.19,0.77,0.5,0.45,0.99,0.02,,0.67,0.56,0.31,0.28,0.28,0.74,0.54,0.89,0.3,0.8,0.75,0.37,0.78,0.52,0.45,0.72,0.78,0.84,0.3,0,0.53,0.33,0.68,0.66,0.15,0.91,0.19,0.59,0.58,0.51,0.77,0,0.62,0.81,0.54,0,0.37,0.98,0.68,0,0.46,0.91,0.47,20,30
orc.csv,0,0.06,0.29,0.57,0.57,0.62,0.62,0.21,0.41,0.47,0,0.57,0.6,0.22,0,0,0.34,0.98,0.86,0.44,0.65,0.9,0.43,0.58,0.14,0.13,0,0.55,0.07,0.13,0.31,0.11,0.53,0.45,0,0,0.53,0.63,0.56,0.36,0,0.24,0.75,0,0.99,0.14,0.03,0.75,0,0.76,0.13,0,0.72,0,0.33,0,0.19,0.53,0.3,0.49,0.63,0.16,0,,0.63,0.54,0.57,0,0.02,0.63,0.81,0.52,0.27,0.14,0.1,0.42,0.21,0.47,0.17,0.36,9,17
