project,f1,precision,recall,g-score,d2h,pci_20,ifa
xstore.csv,0.53,0.54,0.53,0.55,0.76,94,2
qcad2.csv,0.71,0.72,0.73,0.65,0.54,96,19
fluent-nhibernate.csv,0.86,0.85,0.87,0.29,0.75,97,3
wxlua.csv,0.85,0.81,0.9,0,1,95,1
ivef-sdk.csv,1,1,1,1,0,94,6
modplug.csv,0.78,0.85,0.81,0.77,0.53,93,0
dxengine.csv,0.66,0.65,0.67,0.44,0.63,93,11
jmonkeyengine.csv,0.57,0.57,0.64,0,1,92,12
jahshaka.csv,0.75,0.74,0.77,0.38,0.67,91,11
mimosa.csv,0.7,0.71,0.71,0.65,0.44,93,8
mclient-mume.csv,0.82,0.82,0.82,0.82,0.26,90,5
echongl.csv,0.93,0.93,0.92,0.91,0.14,96,0
azureus.csv,0.68,0.67,0.74,0.21,0.82,97,10
modellus.csv,0.6,0.65,0.64,0.59,0.58,97,15
gss.csv,0.8,0.8,0.8,0.72,0.33,90,0
lufa-lib.csv,0.6,0.64,0.61,0.52,0.58,98,35
cleartk.csv,0.82,0.8,0.83,0.62,0.7,95,0
kdenlive.csv,0.69,0.69,0.7,0.71,0.54,95,0
jppf-project.csv,0.86,0.88,0.89,0,1,95,0
synecdoche.csv,0.67,0.72,0.69,0.55,0.52,93,3
nosleepsoftware.csv,0.83,0.83,0.83,0.7,0.35,91,1
brlcad.csv,0.65,0.56,0.75,0,1,99,301
img-browse-sort.csv,0.57,0.58,0.64,0,1.01,90,9
ns-3.csv,0.54,0.53,0.6,0.42,0.87,97,8
h2database.csv,0.81,0.76,0.87,0,1,98,83
opentibia.csv,0.88,0.91,0.89,0.8,0.5,94,0
electric-core.csv,0.69,0.62,0.78,0,1,99,152
ctrlr.csv,0.61,0.55,0.62,0.23,0.87,93,14
co-ode-owl-plugins.csv,0.84,0.89,0.87,0.56,0.5,95,19
galaxium.csv,0.71,0.71,0.72,0.57,0.59,95,3
wxstudio.csv,0.68,0.69,0.69,0.6,0.48,94,11
owfs.csv,0.65,0.66,0.67,0,1.02,91,11
emono.csv,0.59,0.61,0.58,0.57,0.62,95,0
gwanted.csv,0.71,0.7,0.76,0,1,96,31
acegisecurity.csv,0.6,0.62,0.59,0.42,0.71,96,5
javaprofiler.csv,0.6,0.6,0.61,0.62,0.73,95,0
ffigo.csv,0.57,0.62,0.62,0.51,0.76,95,0
esmf.csv,0.69,0.62,0.79,0,1,96,31
glas.csv,0.6,0.6,0.61,0.47,0.63,94,5
quarkplusplus.csv,0.55,0.55,0.55,0.44,0.66,90,4
reaper-ecad.csv,0.81,0.78,0.87,0.24,0.8,97,37
aubit4gl.csv,0.6,0.6,0.6,0.62,0.63,95,2
abbot.csv,0.66,0.66,0.69,0.59,0.76,92,2
cuberok.csv,0.44,0.56,0.45,0.45,0.76,90,5
mp-rechnungs-und-kundenverwaltung.csv,0.57,0.55,0.62,0.36,0.78,96,2
ultimairis.csv,0.74,0.77,0.77,0.49,0.56,96,5
fbmanager.csv,0.62,0.62,0.62,0.59,0.54,92,1
frogatto.csv,0.53,0.53,0.53,0.55,0.71,92,3
go.csv,0.75,0.79,0.76,0.79,0.46,96,4
pfaedit.csv,0.46,0.37,0.61,0,1,94,7
poormans.csv,0.78,0.78,0.79,0.48,0.58,96,0
rectracker.csv,0.75,0.75,0.75,0.75,0.44,93,4
nullc.csv,0.76,0.69,0.83,0,1,91,0
emftriple.csv,0.93,0.94,0.93,0.81,0.5,96,28
kmess.csv,0.52,0.52,0.6,0.5,0.78,96,1
taokgame.csv,0.94,0.95,0.94,0.56,0.5,94,17
alsa.csv,0.48,0.39,0.63,0,1,98,3
riff-evolve.csv,0.62,0.63,0.62,0.56,0.58,97,0
xtreemfs.csv,0.8,0.88,0.86,0.67,0.62,98,0
kindb.csv,0.8,0.83,0.8,0.81,0.36,90,2
hatari.csv,0.69,0.69,0.69,0.68,0.44,92,2
oppna-program-hsatools.csv,0.92,0.93,0.93,0.88,0.4,96,0
sylpheed-claws.csv,0.63,0.63,0.63,0.58,0.54,97,7
repositorium.csv,0.85,0.8,0.89,0,1,94,18
smbopensoft.csv,0.75,0.78,0.76,0.77,0.39,97,0
pydev.csv,0.51,0.53,0.57,0.45,0.73,95,8
tolven.csv,0.66,0.71,0.69,0.43,0.63,96,16
uwom-server.csv,0.65,0.57,0.76,0,1,97,44
linux-ntfs.csv,0.6,0.67,0.64,0.65,0.63,90,0
ngl.csv,0.65,0.66,0.66,0.7,0.5,98,0
sabbu.csv,0.69,0.71,0.7,0.71,0.45,95,4
gpsmid.csv,0.61,0.62,0.61,0.66,0.55,94,4
lazarus-ccr.csv,0.61,0.73,0.64,0.51,0.75,90,1
gbif-providertoolkit.csv,0.73,0.73,0.73,0,1,93,14
bibedt.csv,0.72,0.75,0.7,0.54,0.56,90,9
leechcraft.csv,0.45,0.45,0.45,0.46,0.78,90,1
xharbour.csv,0.72,0.67,0.81,0,1,95,0
truevision.csv,0.67,0.68,0.67,0.45,0.71,95,12
pustefix.csv,0.57,0.6,0.56,0.29,0.82,94,14
ossim.csv,0.92,0.9,0.95,0,1,98,55
wikipediardware.csv,0.52,0.48,0.55,0,1.01,90,0
vxl.csv,0.63,0.58,0.74,0,1,96,29
natpad.csv,0.75,0.76,0.75,0.67,0.38,95,2
tart.csv,0.92,0.9,0.95,0,1,94,18
atlc.csv,0.71,0.74,0.71,0.67,0.41,92,0
yafdotnet.csv,0.67,0.69,0.67,0.65,0.47,97,2
bwapi.csv,0.85,0.89,0.88,0.79,0.57,96,0
emite.csv,0.46,0.45,0.5,0.34,0.87,92,0
thout.csv,0.72,0.77,0.72,0.26,0.78,97,2
autowikibrowser.csv,0.6,0.6,0.6,0.6,0.57,95,8
opengs.csv,0.71,0.74,0.73,0.64,0.55,96,15
bacnet.csv,0.56,0.56,0.57,0.17,0.86,95,7
t-2.csv,0.83,0.82,0.88,0.29,0.76,99,146
ardour.csv,0.6,0.62,0.62,0.66,0.66,96,0
xcsoar.csv,0.64,0.72,0.67,0.64,0.58,96,9
codepurge.csv,0.83,0.82,0.85,0.24,0.8,97,27
jgnash.csv,0.77,0.76,0.82,0.24,0.81,97,23
flylinkdc.csv,0.71,0.71,0.74,0.34,0.72,96,3
adaptagrams.csv,0.7,0.71,0.7,0.67,0.5,90,3
projecteqemu.csv,0.69,0.7,0.69,0.7,0.44,93,2
igarden.csv,0.64,0.63,0.65,0.37,0.7,95,2
nebuladevice.csv,0.74,0.68,0.82,0,1,94,16
officefloor.csv,0.96,0.94,0.97,0,1,99,275
plplot.csv,0.65,0.67,0.67,0.29,0.75,93,6
paintown.csv,0.66,0.68,0.67,0.72,0.49,96,2
ondex.csv,0.75,0.68,0.82,0,1,97,39
lphant.csv,0.69,0.76,0.7,0.76,0.53,90,6
miranda.csv,0.53,0.44,0.66,0,1,98,19
gephex.csv,0.59,0.64,0.64,0.51,0.73,95,1
openwbem.csv,0.65,0.65,0.66,0.46,0.64,99,4
micomt.csv,0.84,0.87,0.87,0.38,0.67,93,13
zscreen.csv,0.72,0.75,0.71,0.7,0.42,92,1
uclmda.csv,0.97,0.97,0.97,0.83,0.5,97,0
jcae.csv,0.81,0.78,0.83,0,1,94,17
codeblocks.csv,0.63,0.55,0.73,0,1,96,1
upp-mirror.csv,0.65,0.65,0.67,0.68,0.54,95,1
arsenal-1.csv,0.43,0.42,0.45,0.23,0.87,90,1
unbvision.csv,0.74,0.74,0.74,0.54,0.53,95,1
openfrag.csv,0.56,0.56,0.57,0.6,0.67,95,7
zildo.csv,0.49,0.5,0.5,0.47,0.75,94,8
olex2.csv,0.62,0.62,0.62,0.55,0.55,96,0
enzo.csv,0.8,0.87,0.85,0.67,0.63,96,0
kvs.csv,0.7,0.68,0.79,0.29,0.75,94,15
adobe-source.csv,0.73,0.67,0.81,0,1,96,31
x4x.csv,0.89,0.91,0.9,0.83,0.5,90,0
openmalaria.csv,0.54,0.59,0.56,0.42,0.67,94,10
autofac.csv,0.38,0.38,0.38,0.2,0.9,92,9
stajistics.csv,0.64,0.65,0.63,0.53,0.59,95,1
konversation.csv,0.85,0.86,0.86,0.55,0.51,95,1
net-snmp.csv,0.54,0.55,0.56,0.5,0.69,94,1
uface.csv,0.88,0.88,0.88,0.9,0.28,96,0
n2cms.csv,0.52,0.54,0.52,0.43,0.7,96,5
pdfedit.csv,0.67,0.67,0.67,0.6,0.47,94,9
nutz.csv,0.7,0.7,0.7,0.47,0.61,98,19
cornerstone.csv,0.47,0.47,0.47,0.49,0.75,94,0
planeshift.csv,0.69,0.68,0.72,0.53,0.81,97,2
google-caja.csv,0.71,0.71,0.75,0.59,0.69,95,0
phet.csv,0.73,0.75,0.78,0.25,0.82,98,6
maya-work-in-progress.csv,0.66,0.68,0.67,0.56,0.55,93,7
bibletime.csv,0.7,0.65,0.75,0,1,93,0
firebreath.csv,0.67,0.68,0.68,0.64,0.54,96,3
qpe.csv,0.88,0.85,0.92,0,1,99,99
smartgwt.csv,0.87,0.89,0.88,0.76,0.44,98,3
blue-c.csv,0.71,0.8,0.73,0.56,0.5,90,0
jbpm.csv,0.92,0.93,0.93,0.55,0.5,98,1
ontopia.csv,0.82,0.78,0.83,0.66,0.68,94,1
turbotrader-bos.csv,0.67,0.68,0.69,0.46,0.61,98,28
xapian.csv,0.77,0.83,0.82,0.45,0.6,95,11
keyczar.csv,0.63,0.67,0.67,0.47,0.7,92,0
vrjuggler.csv,0.71,0.64,0.8,0,1,93,14
aime.csv,0.74,0.68,0.82,0,1,94,16
ipfilter.csv,0.92,0.93,0.92,0.91,0.25,92,0
libmesh.csv,0.51,0.53,0.5,0.37,0.82,92,1
smarttag.csv,0.45,0.45,0.45,0,1.07,90,10
sauerbraten.csv,0.61,0.69,0.62,0.64,0.65,92,2
super-tux.csv,0.9,0.9,0.9,0,1,95,0
jgossipforum.csv,0.96,0.96,0.96,0,1,97,44
aufs.csv,0.78,0.78,0.78,0.56,0.5,95,5
flexpay.csv,0.75,0.68,0.83,0,1,99,102
sandiaportals.csv,0.81,0.82,0.8,0.8,0.5,93,0
nicepress.csv,0.66,0.66,0.67,0.47,0.61,95,14
archive-crawler.csv,0.68,0.67,0.69,0.45,0.63,93,11
mob-sen-plat.csv,0.64,0.69,0.64,0.62,0.56,90,1
selenium.csv,0.61,0.61,0.61,0.61,0.56,95,1
sbml.csv,0.71,0.71,0.71,0.71,0.54,95,1
gisgraphy.csv,0.73,0.73,0.73,0.63,0.45,92,11
jaxen.csv,0.88,0.88,0.88,0,1,94,16
mediaportal.csv,0.73,0.66,0.81,0,1,99,126
pokeglobal.csv,0.4,0.43,0.4,0.38,0.83,92,0
impala.csv,0.83,0.81,0.88,0.24,0.8,97,40
agilitybook.csv,0.79,0.74,0.86,0,1,98,56
ipfire-wall.csv,0.59,0.68,0.58,0.68,0.56,90,6
open-data-kit.csv,0.55,0.54,0.58,0.52,0.77,95,9
betoffice.csv,0.34,0.34,0.39,0.3,0.95,94,11
madman.csv,0.77,0.8,0.73,0,1.01,91,10
panda3d.csv,0.58,0.49,0.68,0,1,96,29
openintents.csv,0.33,0.35,0.33,0.26,0.93,91,4
emisview.csv,0.52,0.54,0.56,0.23,0.85,93,13
htmlunit.csv,0.73,0.74,0.75,0.34,0.71,98,4
firebird.csv,0.62,0.62,0.62,0.66,0.55,98,0
sarasvati.csv,0.9,0.88,0.91,0,1,97,33
ildjit.csv,0.85,0.87,0.84,0.56,0.5,96,19
clamav.csv,0.82,0.88,0.82,0.79,0.29,90,7
nodal.csv,0.67,0.67,0.67,0.44,0.64,94,0
cme.csv,1,1,1,1,0,90,10
dsworkbench.csv,0.67,0.59,0.71,0.38,0.9,92,0
qgo.csv,0.77,0.77,0.77,0.7,0.36,92,0
qgis.csv,0.68,0.68,0.68,0.66,0.46,97,9
neodatis-odb.csv,0.64,0.73,0.71,0.53,0.58,95,1
biopax.csv,0.71,0.7,0.72,0.58,0.76,94,4
fceugc.csv,0.67,0.77,0.71,0.53,0.6,92,3
zxing.csv,0.69,0.62,0.71,0.5,0.82,92,0
kml.csv,0.79,0.85,0.8,0.62,0.43,93,0
grafx2.csv,0.49,0.59,0.53,0.35,0.76,94,3
motu.csv,0.78,0.8,0.77,0.56,0.5,91,7
dataobjectsdotnet.csv,0.6,0.6,0.61,0.47,0.62,98,16
jajuk.csv,0.65,0.67,0.65,0.59,0.51,98,15
jruby.csv,0.8,0.74,0.86,0,1,96,0
vienna-add-in.csv,0.55,0.67,0.56,0.51,0.7,96,4
ifmo-game-1.csv,0.88,0.88,0.88,0,1,93,15
skia.csv,0.62,0.63,0.67,0.29,0.76,92,6
rezilla.csv,0.74,0.74,0.73,0.55,0.52,91,10
jedit.csv,0.7,0.7,0.7,0.61,0.5,96,0
auber.csv,0.66,0.67,0.67,0.67,0.51,95,1
raven-monitoring.csv,0.63,0.64,0.65,0.47,0.61,94,1
sblim.csv,0.67,0.81,0.77,0.55,0.69,95,18
ktc.csv,0.76,0.77,0.75,0.69,0.35,98,22
retromenu.csv,0.58,0.61,0.57,0.53,0.6,92,8
java-gnome.csv,0.83,0.87,0.86,0.71,0.45,92,0
xbg.csv,0.78,0.72,0.83,0,1,92,12
novembre.csv,0.57,0.59,0.64,0.36,0.76,90,1
personalaccess.csv,0.75,0.68,0.83,0,1,96,4
mesa3d.csv,0.69,0.62,0.78,0,1,98,64
columba.csv,0.76,0.77,0.78,0.47,0.58,98,2
piccolo2d.csv,0.74,0.78,0.78,0,1,94,17
fityk.csv,0.57,0.56,0.58,0.54,0.79,92,1
xreal.csv,0.96,0.95,0.97,0,1,97,36
scenemonitor.csv,0.45,0.43,0.6,0.29,0.83,90,7
fontforge.csv,0.45,0.42,0.55,0.23,0.87,90,7
exist.csv,0.72,0.72,0.72,0.77,0.45,97,1
zabbix.csv,0.77,0.8,0.78,0.67,0.46,96,3
prelude.csv,0.89,0.91,0.9,0.83,0.5,90,2
emeraldemu.csv,0.6,0.64,0.69,0.09,0.93,98,81
dspace-gsoc.csv,0.49,0.42,0.55,0.15,1.01,90,2
chrysalis.csv,0.8,0.81,0.79,0.24,0.81,96,11
olsrd.csv,0.81,0.81,0.82,0.79,0.51,94,1
bionote.csv,0.79,0.81,0.82,0,1,91,10
sadl.csv,0.92,0.96,0.95,0.56,0.5,97,36
gmerlin.csv,0.55,0.5,0.58,0.2,0.89,94,13
applet2app.csv,0.5,0.41,0.64,0,1,99,334
zoolib.csv,0.88,0.84,0.92,0,1,98,71
xmoto.csv,0.56,0.57,0.56,0.46,0.73,93,1
wgs-assembler.csv,0.49,0.4,0.64,0,1,95,21
open-beos.csv,0.66,0.68,0.68,0.49,0.59,98,10
jvcl.csv,0.86,0.82,0.9,0,1,96,31
zemljanka.csv,0.93,0.91,0.95,0,1,97,0
gzigzag.csv,0.63,0.62,0.64,0.2,0.86,96,9
psycle.csv,0.7,0.73,0.72,0.66,0.7,98,11
pidgin.csv,0.69,0.7,0.71,0.68,0.69,97,1
empyrean.csv,0.6,0.6,0.59,0.61,0.63,95,1
zealos.csv,0.66,0.71,0.65,0.52,0.61,95,1
xcmetadataservicestoolkit.csv,0.64,0.64,0.64,0.6,0.71,90,0
unimrcp.csv,0.6,0.68,0.62,0.56,0.59,95,12
xfce.csv,0.6,0.64,0.69,0.43,0.87,98,0
pamguard.csv,0.56,0.55,0.58,0.57,0.76,94,3
bdbbasic.csv,0.67,0.67,0.71,0.52,0.64,92,10
playerstage.csv,0.69,0.69,0.69,0.61,0.48,96,18
coot.csv,0.6,0.61,0.6,0.59,0.58,93,0
exl.csv,0.71,0.64,0.73,0,1,90,1
lsb.csv,0.86,0.86,0.86,0.71,0.34,97,0
jsecurity.csv,0.73,0.74,0.72,0.29,0.75,97,34
ta3d.csv,0.47,0.44,0.5,0,1.04,90,1
xbrlapi.csv,0.47,0.5,0.5,0.38,0.79,93,5
phonon-vlc-mplayer.csv,0.84,0.87,0.85,0.69,0.36,98,39
mbse.csv,0.7,0.71,0.75,0.18,0.85,98,25
redshell.csv,0.93,0.9,0.95,0,1,97,0
qedo.csv,0.88,0.85,0.92,0,1,98,50
libtorrent.csv,0.78,0.74,0.83,0,1,95,3
graphmak.csv,0.43,0.5,0.5,0.44,0.78,92,9
ldview.csv,0.6,0.61,0.64,0.29,0.76,90,4
raygina.csv,0.54,0.58,0.54,0.24,0.81,92,11
autat.csv,0.72,0.74,0.71,0.37,0.7,94,15
yale.csv,0.78,0.72,0.85,0,1,99,192
onotoa.csv,0.66,0.72,0.63,0.59,0.72,94,3
power-architect.csv,0.69,0.65,0.79,0,1,92,0
rebecca-aiml.csv,0.74,0.79,0.74,0.41,0.64,97,10
miranda-icq.csv,0.64,0.56,0.75,0,1,97,39
tcl.csv,0.42,0.43,0.44,0.38,0.84,93,4
rtb-team.csv,0.82,0.82,0.82,0.7,0.36,90,6
qse.csv,0.75,0.77,0.75,0.79,0.42,93,0
httpcontentparser.csv,0.84,0.8,0.89,0,1,97,36
mycila.csv,0.69,0.65,0.73,0,1,90,9
bochs.csv,0.64,0.65,0.66,0.46,0.61,97,1
bnetd.csv,0.48,0.73,0.57,0.44,0.86,93,0
badtrinity-zero.csv,0.48,0.49,0.48,0.52,0.73,96,9
boost.csv,0.48,0.43,0.62,0.12,0.94,98,54
decidr.csv,0.65,0.66,0.66,0.71,0.53,99,0
barracudamvc.csv,0.76,0.76,0.76,0.58,0.76,96,0
kaffeine.csv,0.82,0.82,0.82,0.77,0.51,91,0
rtrt-on-gpu.csv,0.83,0.9,0.83,0.56,0.5,91,10
open-media-library.csv,0.59,0.59,0.59,0.61,0.58,94,3
amateur-scrolls.csv,0.63,0.66,0.62,0.53,0.61,92,2
servicestack.csv,0.64,0.56,0.67,0,1,91,11
freewrl.csv,0.49,0.5,0.5,0.54,0.72,90,5
dynalloy.csv,0.54,0.6,0.53,0.59,0.64,96,0
jmol.csv,0.72,0.65,0.81,0,1,96,2
mpgravity.csv,0.72,0.72,0.8,0.38,0.68,90,4
rohxel.csv,0.6,0.6,0.64,0,1.01,90,0
slimdx.csv,0.85,0.81,0.9,0,1,98,49
codesmith.csv,0.7,0.7,0.7,0.67,0.71,95,0
magicwars.csv,0.81,0.86,0.83,0.64,0.44,99,0
tktoolkit.csv,0.8,0.74,0.86,0,1,97,35
e-bio-flow.csv,0.65,0.65,0.65,0.53,0.58,93,7
stuproa-cims.csv,0.7,0.71,0.71,0.41,0.65,97,34
rsyslog.csv,0.45,0.47,0.45,0.47,0.8,90,3
lportal.csv,0.94,0.92,0.96,0,1,99,716
doomlegacy.csv,0.66,0.58,0.73,0,1,95,0
freenet.csv,0.67,0.68,0.7,0.66,0.65,98,2
sidekar.csv,0.67,0.67,0.68,0.7,0.55,95,0
wishmaster.csv,0.75,0.73,0.75,0.37,0.71,93,1
pgui.csv,0.67,0.72,0.67,0.45,0.61,96,19
