total_FANOUT,NRev,max_FANOUT,NFix,max_NPM,max_ModifiedLOC,total_CBO,total_ModifiedLOC,avg_RFC,NStmt,total_NPM,Buggy
9.0,9.0,5.0,10.0,9.0,9.0,4.0,7.0,10.0,8.0,9.0,True
6.0,3.0,4.0,8.0,9.0,8.0,7.0,6.0,9.0,6.0,9.0,False
9.0,7.0,6.0,9.0,9.0,8.0,6.0,7.0,9.0,8.0,9.0,True
8.0,6.0,5.0,9.0,9.0,9.0,5.0,7.0,9.0,6.0,9.0,True
3.0,6.0,4.0,9.0,9.0,6.0,4.0,5.0,7.0,2.0,9.0,False
2.0,6.0,2.0,8.0,9.0,5.0,1.0,5.0,4.0,1.0,9.0,False
8.0,10.0,6.0,10.0,9.0,9.0,6.0,9.0,9.0,7.0,9.0,True
3.0,5.0,4.0,9.0,9.0,3.0,3.0,3.0,7.0,2.0,9.0,False
3.0,7.0,3.0,9.0,9.0,9.0,4.0,8.0,7.0,2.0,9.0,False
7.0,7.0,5.0,8.0,9.0,9.0,4.0,7.0,9.0,5.0,9.0,False
5.0,9.0,4.0,9.0,9.0,8.0,4.0,8.0,7.0,3.0,9.0,False
3.0,5.0,3.0,9.0,9.0,5.0,4.0,4.0,7.0,2.0,9.0,True
5.0,7.0,5.0,8.0,9.0,8.0,4.0,7.0,7.0,4.0,9.0,False
3.0,10.0,6.0,10.0,9.0,9.0,4.0,9.0,6.0,2.0,9.0,True
8.0,10.0,5.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,True
3.0,6.0,3.0,8.0,9.0,3.0,4.0,4.0,7.0,1.0,9.0,False
10.0,8.0,6.0,9.0,9.0,10.0,4.0,8.0,10.0,9.0,9.0,False
6.0,3.0,5.0,5.0,9.0,7.0,4.0,5.0,8.0,5.0,9.0,False
5.0,9.0,6.0,10.0,9.0,9.0,5.0,8.0,7.0,4.0,9.0,True
5.0,6.0,4.0,8.0,9.0,5.0,4.0,4.0,8.0,4.0,9.0,True
6.0,5.0,6.0,9.0,10.0,9.0,5.0,7.0,9.0,6.0,10.0,True
6.0,10.0,7.0,10.0,9.0,9.0,9.0,9.0,8.0,6.0,9.0,True
9.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,True
4.0,9.0,4.0,8.0,9.0,10.0,7.0,9.0,7.0,5.0,9.0,False
8.0,10.0,7.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,False
8.0,10.0,4.0,10.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,False
5.0,8.0,7.0,8.0,9.0,7.0,7.0,6.0,8.0,6.0,9.0,False
6.0,7.0,5.0,9.0,10.0,8.0,9.0,7.0,8.0,8.0,10.0,True
6.0,5.0,5.0,8.0,9.0,10.0,9.0,8.0,8.0,7.0,9.0,False
4.0,9.0,6.0,10.0,10.0,9.0,8.0,8.0,9.0,5.0,10.0,True
5.0,8.0,6.0,9.0,10.0,5.0,7.0,5.0,7.0,6.0,10.0,False
5.0,8.0,5.0,9.0,9.0,5.0,6.0,5.0,8.0,5.0,9.0,True
3.0,7.0,4.0,10.0,9.0,8.0,4.0,6.0,6.0,1.0,9.0,False
4.0,3.0,4.0,5.0,9.0,3.0,3.0,3.0,7.0,4.0,9.0,False
10.0,10.0,7.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,True
9.0,10.0,7.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,True
5.0,5.0,4.0,8.0,9.0,9.0,4.0,7.0,10.0,5.0,9.0,True
3.0,5.0,4.0,8.0,9.0,3.0,3.0,3.0,9.0,1.0,9.0,False
3.0,5.0,3.0,8.0,9.0,3.0,3.0,3.0,10.0,1.0,9.0,False
4.0,6.0,4.0,9.0,9.0,9.0,1.0,7.0,4.0,2.0,9.0,True
2.0,6.0,2.0,9.0,9.0,9.0,2.0,7.0,5.0,3.0,9.0,True
7.0,9.0,4.0,10.0,9.0,8.0,1.0,8.0,4.0,8.0,9.0,True
2.0,9.0,2.0,8.0,9.0,6.0,3.0,6.0,9.0,3.0,9.0,True
9.0,9.0,10.0,10.0,9.0,9.0,1.0,8.0,4.0,10.0,9.0,True
2.0,10.0,2.0,10.0,10.0,9.0,5.0,8.0,10.0,7.0,10.0,True
2.0,3.0,2.0,8.0,9.0,2.0,1.0,2.0,4.0,1.0,9.0,False
10.0,10.0,10.0,10.0,9.0,10.0,1.0,10.0,4.0,10.0,9.0,True
8.0,8.0,8.0,10.0,9.0,9.0,1.0,7.0,4.0,9.0,9.0,True
4.0,3.0,3.0,8.0,9.0,2.0,1.0,2.0,4.0,3.0,9.0,False
2.0,3.0,2.0,8.0,9.0,2.0,3.0,2.0,8.0,4.0,9.0,False
2.0,9.0,1.0,9.0,9.0,10.0,1.0,10.0,4.0,1.0,9.0,True
9.0,9.0,5.0,10.0,9.0,9.0,1.0,8.0,4.0,9.0,9.0,True
2.0,8.0,2.0,9.0,9.0,7.0,3.0,5.0,9.0,4.0,9.0,False
2.0,6.0,1.0,8.0,9.0,2.0,1.0,2.0,4.0,1.0,9.0,True
9.0,7.0,8.0,8.0,9.0,9.0,1.0,8.0,4.0,10.0,9.0,True
5.0,7.0,6.0,8.0,9.0,9.0,1.0,7.0,4.0,10.0,9.0,True
2.0,5.0,1.0,8.0,9.0,3.0,1.0,3.0,4.0,1.0,9.0,True
6.0,8.0,4.0,9.0,9.0,3.0,1.0,4.0,4.0,7.0,9.0,False
2.0,7.0,3.0,9.0,9.0,5.0,1.0,4.0,5.0,3.0,9.0,False
10.0,10.0,4.0,10.0,9.0,10.0,2.0,10.0,4.0,10.0,9.0,True
2.0,10.0,1.0,9.0,9.0,9.0,1.0,8.0,4.0,8.0,9.0,True
7.0,9.0,4.0,9.0,9.0,10.0,6.0,9.0,9.0,7.0,9.0,True
9.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,True
7.0,9.0,4.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,10.0,True
3.0,3.0,4.0,8.0,9.0,3.0,3.0,3.0,6.0,1.0,9.0,False
7.0,7.0,7.0,9.0,9.0,3.0,8.0,3.0,7.0,8.0,9.0,True
9.0,10.0,7.0,9.0,10.0,8.0,10.0,7.0,9.0,10.0,10.0,True
8.0,9.0,3.0,9.0,10.0,10.0,5.0,8.0,10.0,7.0,10.0,False
4.0,3.0,4.0,8.0,9.0,3.0,5.0,3.0,10.0,3.0,9.0,True
5.0,8.0,5.0,9.0,10.0,5.0,8.0,5.0,8.0,4.0,10.0,True
5.0,8.0,4.0,8.0,9.0,8.0,4.0,7.0,9.0,6.0,9.0,False
3.0,8.0,4.0,8.0,10.0,6.0,5.0,4.0,7.0,8.0,10.0,True
5.0,7.0,6.0,8.0,9.0,5.0,7.0,5.0,7.0,6.0,9.0,False
3.0,3.0,4.0,8.0,9.0,3.0,2.0,3.0,6.0,2.0,9.0,False
5.0,6.0,4.0,8.0,9.0,3.0,5.0,4.0,9.0,5.0,9.0,False
10.0,10.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True
4.0,6.0,5.0,5.0,9.0,6.0,6.0,5.0,10.0,5.0,9.0,False
3.0,3.0,7.0,5.0,9.0,3.0,4.0,3.0,10.0,4.0,9.0,False
3.0,3.0,5.0,5.0,9.0,6.0,3.0,4.0,10.0,2.0,9.0,False
9.0,10.0,4.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,True
4.0,6.0,4.0,8.0,10.0,7.0,8.0,6.0,8.0,4.0,10.0,False
3.0,5.0,6.0,8.0,9.0,8.0,5.0,6.0,7.0,3.0,9.0,False
5.0,3.0,3.0,8.0,9.0,5.0,7.0,4.0,6.0,5.0,9.0,False
7.0,5.0,7.0,8.0,9.0,8.0,10.0,6.0,6.0,8.0,9.0,False
5.0,3.0,4.0,8.0,9.0,2.0,8.0,2.0,6.0,6.0,9.0,False
4.0,3.0,4.0,8.0,9.0,2.0,8.0,2.0,6.0,6.0,9.0,False
0.6513298389527664,3.0,6.109822551263477,5.0,9.0,3.503056526865341,0.8385409251980467,3.583693495758335,10.043575061507221,1.5162965990879793,9.0,False
5.7813346081633625,3.0,0.0,9.646115069680091,9.0,11.909829448728761,5.9933791831052865,8.414320119682014,9.0,5.171017562279045,9.0,False
1.000167928683925,5.0,2.299159102126877,8.0,8.723857291722325,0.0,0.0,2.5016715014526083,9.0,0.0,8.622682747402765,False
0.0,5.0,0.0,8.0,8.231161452151268,0.0,0.9418467775044217,0.2041806091826981,10.948196030836758,0.0,8.674633078039863,False
7.360317083095149,10.957759383667526,0.0,9.439246255030945,10.0,11.095960133312637,4.5695097009073855,8.110423656490577,10.772851175865929,5.564094297786468,10.0,False
0.0,7.039969578703884,0.0,9.827308629602735,9.0,5.980968148003407,0.0,6.048489613507513,3.4171725193901845,0.0,9.0,False
