avg_NPM,total_FANOUT,avg_DIT,max_ModifiedLOC,max_NPM,avg_FANIN,max_RFC,avg_AddedLOC,total_NPM,avg_ModifiedLOC,total_NPRM,avg_DIT.1,max_CC,avg_NOC,Buggy
9.0,7.0,8.0,7.0,9.0,7.0,4.0,7.0,9.0,7.0,9.0,8.0,5.0,9.0,True
9.0,2.0,8.0,7.0,9.0,2.0,4.0,5.0,9.0,5.0,9.0,8.0,2.0,9.0,False
9.0,6.0,8.0,8.0,9.0,5.0,4.0,6.0,9.0,10.0,9.0,8.0,8.0,9.0,False
9.0,7.0,8.0,1.0,9.0,4.0,4.0,3.0,9.0,1.0,9.0,8.0,7.0,9.0,False
9.0,10.0,8.0,9.0,9.0,6.0,4.0,6.0,9.0,9.0,9.0,8.0,10.0,9.0,True
9.0,9.0,8.0,4.0,9.0,7.0,4.0,3.0,9.0,6.0,9.0,8.0,8.0,9.0,False
9.0,2.0,8.0,3.0,9.0,2.0,8.0,3.0,9.0,3.0,9.0,8.0,3.0,9.0,True
9.0,8.0,8.0,4.0,9.0,10.0,4.0,6.0,9.0,3.0,9.0,8.0,9.0,9.0,False
9.0,2.0,8.0,4.0,9.0,2.0,5.0,3.0,9.0,3.0,9.0,8.0,2.0,9.0,False
9.0,6.0,8.0,4.0,9.0,6.0,4.0,6.0,9.0,3.0,9.0,8.0,5.0,9.0,True
9.0,8.0,8.0,1.0,9.0,8.0,4.0,4.0,9.0,1.0,9.0,8.0,8.0,9.0,False
9.0,9.0,8.0,9.0,9.0,10.0,4.0,4.0,9.0,8.0,9.0,8.0,10.0,9.0,False
9.0,2.0,8.0,4.0,9.0,4.0,6.0,3.0,9.0,5.0,10.0,8.0,3.0,9.0,False
9.0,8.0,8.0,9.0,9.0,7.0,4.0,6.0,9.0,9.0,9.0,8.0,10.0,9.0,False
9.0,10.0,8.0,1.0,9.0,4.0,4.0,3.0,9.0,1.0,9.0,8.0,7.0,9.0,True
9.0,2.0,10.0,5.0,9.0,2.0,10.0,3.0,9.0,6.0,10.0,10.0,3.0,9.0,True
10.0,4.0,10.0,1.0,10.0,4.0,9.0,5.0,10.0,1.0,10.0,10.0,3.0,9.0,True
9.0,8.0,8.0,5.0,9.0,3.0,4.0,7.0,9.0,5.0,9.0,8.0,6.0,9.0,True
10.0,2.0,10.0,6.0,10.0,2.0,10.0,6.0,10.0,5.0,10.0,10.0,3.0,10.0,True
10.0,4.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,10.0,3.0,10.0,True
9.0,8.0,8.0,8.0,9.0,2.0,4.0,10.0,9.0,9.0,9.0,8.0,6.0,9.0,True
9.0,10.0,8.0,7.0,9.0,5.0,4.0,4.0,9.0,8.0,9.0,8.0,7.0,9.0,True
10.0,2.0,10.0,4.0,10.0,2.0,10.0,3.0,10.0,5.0,10.0,10.0,2.0,9.0,True
9.0,7.0,8.0,3.0,9.0,3.0,4.0,3.0,9.0,3.0,9.0,8.0,7.0,9.0,True
10.0,2.0,10.0,3.0,10.0,2.0,10.0,3.0,10.0,3.0,9.0,10.0,2.0,9.0,True
9.0,9.0,8.0,7.0,9.0,3.0,4.0,3.0,9.0,9.0,9.0,8.0,7.0,9.0,True
9.0,9.0,8.0,7.0,9.0,5.0,4.0,4.0,9.0,9.0,9.0,8.0,9.0,9.0,True
9.0,7.0,8.0,9.0,9.0,3.0,4.0,6.0,9.0,10.0,9.0,8.0,4.0,9.0,False
9.0,2.0,8.0,4.0,9.0,2.0,4.0,4.0,9.0,4.0,9.0,8.0,2.0,9.0,False
9.0,8.0,8.0,4.0,9.0,9.0,4.0,3.0,9.0,2.0,9.0,8.0,9.0,9.0,False
9.0,2.0,8.0,8.0,9.0,2.0,5.0,4.0,9.0,7.0,9.0,8.0,2.0,9.0,False
9.0,8.0,8.0,9.0,9.0,7.0,4.0,7.0,9.0,10.0,9.0,8.0,10.0,9.0,False
9.0,2.0,8.0,6.0,9.0,2.0,4.0,3.0,9.0,5.0,9.0,8.0,2.0,9.0,False
9.0,8.0,8.0,1.0,9.0,7.0,4.0,5.0,9.0,1.0,9.0,8.0,4.0,9.0,False
9.0,2.0,8.0,9.0,9.0,2.0,5.0,3.0,9.0,9.0,9.0,8.0,2.0,9.0,False
9.0,7.0,8.0,1.0,9.0,10.0,4.0,3.0,9.0,1.0,9.0,8.0,7.0,9.0,True
9.0,3.0,8.0,10.0,9.0,10.0,10.0,4.0,9.0,10.0,9.0,8.0,3.0,9.0,False
9.0,10.0,8.0,1.0,9.0,5.0,4.0,3.0,9.0,1.0,9.0,8.0,9.0,9.0,False
9.0,2.0,8.0,5.0,9.0,2.0,6.0,3.0,9.0,6.0,9.0,8.0,2.0,9.0,True
9.0,5.0,8.0,6.0,9.0,4.0,4.0,4.0,9.0,8.0,9.0,8.0,4.0,9.0,False
9.0,5.0,8.0,1.0,9.0,10.0,4.0,4.0,9.0,1.0,9.0,8.0,4.0,9.0,False
9.0,2.0,8.0,6.0,9.0,8.0,6.0,3.0,9.0,7.0,9.0,8.0,4.0,9.0,False
9.0,9.0,8.0,9.0,9.0,9.0,4.0,4.0,9.0,8.0,9.0,8.0,6.0,9.0,False
9.0,3.0,8.0,9.0,9.0,10.0,7.0,4.0,9.0,10.0,10.0,8.0,4.0,9.0,False
9.0,9.0,8.0,3.0,9.0,8.0,4.0,3.0,9.0,3.0,9.0,8.0,10.0,9.0,False
9.0,2.0,9.0,8.0,9.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,3.0,9.0,False
9.0,4.0,8.0,1.0,9.0,10.0,4.0,9.0,9.0,1.0,9.0,8.0,7.0,9.0,False
9.0,2.0,8.0,1.0,9.0,2.0,5.0,5.0,9.0,1.0,9.0,8.0,2.0,9.0,False
9.0,8.0,10.0,6.0,9.0,8.0,4.0,7.0,9.0,4.0,9.0,10.0,10.0,9.0,False
9.0,3.0,8.0,9.0,9.0,9.0,4.0,4.0,9.0,7.0,9.0,8.0,3.0,9.0,False
9.0,7.0,8.0,5.0,9.0,6.0,4.0,4.0,9.0,5.0,9.0,8.0,5.0,9.0,True
9.0,2.0,8.0,7.0,9.0,3.0,4.0,3.0,9.0,8.0,9.0,8.0,3.0,9.0,False
9.0,4.0,10.0,9.0,9.0,2.0,6.0,10.0,9.0,9.0,10.0,10.0,3.0,9.0,True
9.0,4.559551683893192,8.0,4.618603011424204,9.0,10.0,4.0,10.587273239199604,9.0,7.0,9.0,8.0,5.273936466981146,9.0,True
9.0,5.402208560114531,8.0,6.003617927491965,9.0,4.231403803098205,4.0,7.0,9.0,6.334131805584739,9.0,8.0,4.399225229047047,9.0,True
9.0,4.319431537719069,8.0,4.370811024929812,9.0,3.7651101989772524,4.0,3.7926915627605258,9.0,1.3859242131270544,9.0,8.0,1.9510177109804006,9.0,True
9.0,7.749237425809817,8.0,4.904345782872715,9.0,10.0,4.0,5.047261532889625,9.0,6.791591306966851,9.0,8.0,10.0,9.0,True
9.0,9.0,8.0,6.8701678845348075,9.0,2.472929913465804,4.0,3.0,9.0,9.484465740368158,9.0,8.0,5.21007784034458,9.0,True
9.0,10.0,8.0,0.0,9.0,8.255032393354512,4.0,0.40757282443620513,9.0,0.0,9.0,8.0,10.0,9.0,True
9.0,6.144089398432174,8.0,4.024316373570482,9.0,3.369182842164734,4.0,3.5681131248846216,9.0,4.199809778506548,9.0,8.0,2.656677900099231,9.0,True
10.135631690028728,0.3916253854708929,11.881399630737835,1.6040966667108876,10.696975080307627,0.0,14.111965382496752,0.4205502965578778,10.94604698466907,4.47909439491495,10.13731608419107,10.083989078443318,0.0,9.0,True
9.0,7.918138787262773,8.0,4.47600900324278,9.0,0.24516617722519252,4.0,7.0,9.0,2.5488655244415415,9.0,8.0,2.4341534756956813,9.0,True
9.0,7.484309398387485,8.0,4.662572814933287,9.0,0.0,4.0,9.518643778396894,9.0,4.2913853441161995,9.0,8.0,5.202740288780343,9.0,True
9.0,7.259902652185695,8.0,2.112284812032629,9.0,0.0,4.0,7.545634380595981,9.0,4.4204525713350975,9.0,8.0,4.181732327982669,9.0,True
9.0,2.5197383125582626,11.180778131693586,9.256692419474735,9.0,0.0,7.845962986443529,12.66996933649677,9.0,9.206892994101157,10.953472446725293,11.955557727468495,0.0,9.0,True
9.0,9.0,8.0,6.065841772089469,9.0,0.008704548035251669,4.0,4.918022792425865,9.0,9.499416306591284,9.0,8.0,9.0,9.0,True
9.0,10.009638959914444,8.0,0.0,9.0,1.2521619622936466,4.0,3.0,9.0,0.0,9.0,8.0,6.283297966942978,9.0,True
